code,rs_percentile_12m,rs_percentile_3m
HK.00001,82.0,56
HK.00002,80.0,67
HK.00003,72.0,77
HK.00004,45.0,43
HK.00005,89.0,74
HK.00006,80.0,76
HK.00008,67.0,56
HK.00010,44.0,38
HK.00012,55.0,48
HK.00013,73.0,87
HK.00014,55.0,30
HK.00016,67.0,33
HK.00017,25.0,10
HK.00018,23.0,27
HK.00019,90.0,84
HK.00020,16.0,25
HK.00021,24.0,6
HK.00022,3.0,66
HK.00023,91.0,94
HK.00025,85.0,76
HK.00026,70.0,64
HK.00027,59.0,65
HK.00028,30.0,39
HK.00029,31.0,32
HK.00030,57.0,52
HK.00031,19.0,18
HK.00032,51.0,44
HK.00033,59.0,58
HK.00034,72.0,30
HK.00035,51.0,60
HK.00036,78.0,58
HK.00037,70.0,51
HK.00038,85.0,89
HK.00039,19.0,58
HK.00040,56.0,50
HK.00041,60.0,37
HK.00042,18.0,32
HK.00045,50.0,52
HK.00046,57.0,75
HK.00048,93.0,74
HK.00050,71.0,68
HK.00051,55.0,34
HK.00052,72.0,73
HK.00053,66.0,62
HK.00055,28.0,25
HK.00057,53.0,55
HK.00058,73.0,53
HK.00059,65.0,58
HK.00060,81.0,85
HK.00061,9.0,18
HK.00062,41.0,28
HK.00063,13.0,51
HK.00064,84.0,75
HK.00065,53.0,90
HK.00066,75.0,65
HK.00068,,9
HK.00069,52.0,51
HK.00070,86.0,96
HK.00071,63.0,55
HK.00072,32.0,15
HK.00073,63.0,43
HK.00075,37.0,12
HK.00076,41.0,85
HK.00077,85.0,77
HK.00078,44.0,81
HK.00079,83.0,69
HK.00081,77.0,79
HK.00082,40.0,37
HK.00083,56.0,44
HK.00084,72.0,70
HK.00085,11.0,8
HK.00086,70.0,66
HK.00087,85.0,76
HK.00088,51.0,41
HK.00089,55.0,50
HK.00090,34.0,36
HK.00092,50.0,73
HK.00093,20.0,17
HK.00094,38.0,24
HK.00095,45.0,72
HK.00096,58.0,67
HK.00097,26.0,33
HK.00098,28.0,11
HK.00099,59.0,70
HK.00100,,8
HK.00101,38.0,32
HK.00103,49.0,83
HK.00104,75.0,71
HK.00105,66.0,52
HK.00106,65.0,58
HK.00107,60.0,68
HK.00108,36.0,68
HK.00110,96.0,88
HK.00111,81.0,86
HK.00113,74.0,35
HK.00114,76.0,64
HK.00115,11.0,2
HK.00116,78.0,88
HK.00117,98.0,26
HK.00118,54.0,72
HK.00119,14.0,6
HK.00120,11.0,52
HK.00122,42.0,32
HK.00123,17.0,7
HK.00124,30.0,36
HK.00125,45.0,47
HK.00126,18.0,19
HK.00127,38.0,39
HK.00128,93.0,97
HK.00129,23.0,34
HK.00130,63.0,38
HK.00131,66.0,55
HK.00132,25.0,28
HK.00135,73.0,82
HK.00136,28.0,70
HK.00137,60.0,64
HK.00138,4.0,8
HK.00139,12.0,72
HK.00142,44.0,44
HK.00144,77.0,85
HK.00145,78.0,87
HK.00146,63.0,79
HK.00147,93.0,99
HK.00148,89.0,42
HK.00149,46.0,39
HK.00150,51.0,48
HK.00151,11.0,14
HK.00152,22.0,40
HK.00154,40.0,78
HK.00156,80.0,72
HK.00157,49.0,48
HK.00158,64.0,66
HK.00159,6.0,3
HK.00160,15.0,25
HK.00162,29.0,35
HK.00163,14.0,12
HK.00164,72.0,43
HK.00165,39.0,73
HK.00166,44.0,80
HK.00167,96.0,33
HK.00168,39.0,26
HK.00169,20.0,22
HK.00171,20.0,91
HK.00173,54.0,53
HK.00174,22.0,16
HK.00175,49.0,24
HK.00176,65.0,58
HK.00177,73.0,73
HK.00178,92.0,93
HK.00179,21.0,28
HK.00180,66.0,60
HK.00181,32.0,18
HK.00182,54.0,67
HK.00183,51.0,73
HK.00184,72.0,61
HK.00185,15.0,21
HK.00186,95.0,97
HK.00187,16.0,29
HK.00188,49.0,42
HK.00189,47.0,22
HK.00191,19.0,14
HK.00193,57.0,51
HK.00194,58.0,56
HK.00196,7.0,11
HK.00197,92.0,96
HK.00199,97.0,45
HK.00200,18.0,26
HK.00201,40.0,30
HK.00202,15.0,95
HK.00205,75.0,48
HK.00206,9.0,13
HK.00209,0.0,0
HK.00210,24.0,17
HK.00211,68.0,68
HK.00212,68.0,61
HK.00213,68.0,76
HK.00214,43.0,88
HK.00215,72.0,66
HK.00216,23.0,19
HK.00217,40.0,41
HK.00218,27.0,53
HK.00219,77.0,49
HK.00220,51.0,34
HK.00222,70.0,48
HK.00223,33.0,74
HK.00224,72.0,85
HK.00225,55.0,43
HK.00227,10.0,12
HK.00228,6.0,3
HK.00229,56.0,64
HK.00232,96.0,82
HK.00234,41.0,55
HK.00235,30.0,51
HK.00236,49.0,50
HK.00237,63.0,45
HK.00239,74.0,67
HK.00240,58.0,42
HK.00241,18.0,31
HK.00242,31.0,45
HK.00243,76.0,50
HK.00244,70.0,83
HK.00245,53.0,56
HK.00247,63.0,58
HK.00248,32.0,31
HK.00251,55.0,49
HK.00252,71.0,69
HK.00253,68.0,46
HK.00254,2.0,89
HK.00255,68.0,66
HK.00256,59.0,95
HK.00257,72.0,66
HK.00258,50.0,67
HK.00259,14.0,7
HK.00261,79.0,87
HK.00262,64.0,64
HK.00264,27.0,27
HK.00265,39.0,13
HK.00266,63.0,65
HK.00267,81.0,86
HK.00268,32.0,65
HK.00269,65.0,58
HK.00270,84.0,86
HK.00271,36.0,29
HK.00272,40.0,73
HK.00274,65.0,58
HK.00276,37.0,54
HK.00277,23.0,20
HK.00279,14.0,49
HK.00280,87.0,78
HK.00285,26.0,49
HK.00286,65.0,58
HK.00287,71.0,56
HK.00288,30.0,11
HK.00289,67.0,50
HK.00290,10.0,7
HK.00291,24.0,11
HK.00293,86.0,75
HK.00294,84.0,85
HK.00295,38.0,42
HK.00296,35.0,46
HK.00297,41.0,53
HK.00298,34.0,43
HK.00299,65.0,58
HK.00300,83.0,78
HK.00301,98.0,96
HK.00302,14.0,47
HK.00303,43.0,38
HK.00305,26.0,22
HK.00306,80.0,73
HK.00308,61.0,71
HK.00309,21.0,33
HK.00311,83.0,85
HK.00312,11.0,9
HK.00313,52.0,86
HK.00314,39.0,88
HK.00315,69.0,63
HK.00316,79.0,75
HK.00317,62.0,90
HK.00318,91.0,67
HK.00320,43.0,46
HK.00321,50.0,18
HK.00322,76.0,53
HK.00323,29.0,68
HK.00325,78.0,88
HK.00326,94.0,28
HK.00327,50.0,76
HK.00328,8.0,85
HK.00329,2.0,2
HK.00330,13.0,52
HK.00331,53.0,50
HK.00332,3.0,10
HK.00333,26.0,28
HK.00334,26.0,16
HK.00335,68.0,74
HK.00336,51.0,86
HK.00337,6.0,5
HK.00338,41.0,62
HK.00340,82.0,92
HK.00341,79.0,77
HK.00343,32.0,66
HK.00345,62.0,73
HK.00346,12.0,41
HK.00347,19.0,60
HK.00348,12.0,31
HK.00351,67.0,45
HK.00352,53.0,58
HK.00353,78.0,79
HK.00354,41.0,78
HK.00355,61.0,71
HK.00357,26.0,74
HK.00358,69.0,45
HK.00360,58.0,94
HK.00361,34.0,31
HK.00362,65.0,58
HK.00363,63.0,67
HK.00365,48.0,3
HK.00366,47.0,52
HK.00367,35.0,52
HK.00368,99.0,98
HK.00369,61.0,42
HK.00370,5.0,25
HK.00371,13.0,4
HK.00372,11.0,4
HK.00373,39.0,32
HK.00374,66.0,64
HK.00375,47.0,21
HK.00376,34.0,92
HK.00377,98.0,98
HK.00379,12.0,5
HK.00380,45.0,68
HK.00381,4.0,15
HK.00382,5.0,46
HK.00383,38.0,38
HK.00384,24.0,42
HK.00385,23.0,51
HK.00386,75.0,83
HK.00387,57.0,25
HK.00388,67.0,64
HK.00389,86.0,97
HK.00390,44.0,50
HK.00391,97.0,98
HK.00392,57.0,66
HK.00393,68.0,61
HK.00396,91.0,18
HK.00397,61.0,90
HK.00398,70.0,66
HK.00399,9.0,58
HK.00400,90.0,82
HK.00401,55.0,15
HK.00403,79.0,84
HK.00406,20.0,27
HK.00408,90.0,85
HK.00410,15.0,27
HK.00411,57.0,47
HK.00412,3.0,80
HK.00413,38.0,55
HK.00417,36.0,61
HK.00418,33.0,35
HK.00419,82.0,37
HK.00420,73.0,43
HK.00422,40.0,41
HK.00423,45.0,42
HK.00425,26.0,17
HK.00426,83.0,52
HK.00430,42.0,45
HK.00432,46.0,27
HK.00433,12.0,8
HK.00434,56.0,94
HK.00436,62.0,81
HK.00438,16.0,34
HK.00439,8.0,14
HK.00440,85.0,76
HK.00442,20.0,40
HK.00444,65.0,58
HK.00450,37.0,26
HK.00451,10.0,4
HK.00455,67.0,83
HK.00456,47.0,5
HK.00458,56.0,45
HK.00460,11.0,12
HK.00464,24.0,18
HK.00465,98.0,86
HK.00467,37.0,87
HK.00468,65.0,58
HK.00470,,16
HK.00471,2.0,12
HK.00472,27.0,22
HK.00474,96.0,91
HK.00475,19.0,9
HK.00476,74.0,94
HK.00480,54.0,37
HK.00482,12.0,11
HK.00483,21.0,33
HK.00484,34.0,23
HK.00485,62.0,41
HK.00486,16.0,30
HK.00487,33.0,60
HK.00488,68.0,61
HK.00491,81.0,95
HK.00493,20.0,46
HK.00496,5.0,40
HK.00497,39.0,25
HK.00498,17.0,58
HK.00499,92.0,92
HK.00500,67.0,74
HK.00505,64.0,68
HK.00506,70.0,85
HK.00508,25.0,22
HK.00509,65.0,58
HK.00510,62.0,18
HK.00511,28.0,30
HK.00512,27.0,37
HK.00513,52.0,86
HK.00515,57.0,58
HK.00517,76.0,86
HK.00518,26.0,12
HK.00519,53.0,47
HK.00520,4.0,16
HK.00521,21.0,24
HK.00522,90.0,17
HK.00524,97.0,50
HK.00525,77.0,79
HK.00526,62.0,19
HK.00527,88.0,89
HK.00528,76.0,78
HK.00529,43.0,35
HK.00532,41.0,30
HK.00533,48.0,40
HK.00535,14.0,66
HK.00536,76.0,64
HK.00538,58.0,47
HK.00540,85.0,78
HK.00542,85.0,87
HK.00543,40.0,24
HK.00544,7.0,19
HK.00546,13.0,24
HK.00547,18.0,12
HK.00548,63.0,69
HK.00550,97.0,11
HK.00551,52.0,48
HK.00552,53.0,47
HK.00553,17.0,30
HK.00554,33.0,39
HK.00556,51.0,10
HK.00557,19.0,20
HK.00558,3.0,13
HK.00559,52.0,58
HK.00560,36.0,35
HK.00563,34.0,54
HK.00564,20.0,17
HK.00565,96.0,96
HK.00567,95.0,71
HK.00568,53.0,38
HK.00570,16.0,18
HK.00571,46.0,62
HK.00572,44.0,39
HK.00573,54.0,67
HK.00574,3.0,30
HK.00575,75.0,49
HK.00576,47.0,39
HK.00579,30.0,28
HK.00580,7.0,4
HK.00581,35.0,48
HK.00582,48.0,83
HK.00583,39.0,19
HK.00585,97.0,14
HK.00586,22.0,19
HK.00587,7.0,36
HK.00588,39.0,41
HK.00590,48.0,37
HK.00591,50.0,52
HK.00595,96.0,80
HK.00596,3.0,13
HK.00598,71.0,79
HK.00599,26.0,26
HK.00600,,91
HK.00601,43.0,21
HK.00602,71.0,81
HK.00603,16.0,42
HK.00604,28.0,28
HK.00605,42.0,46
HK.00606,42.0,52
HK.00607,7.0,1
HK.00608,45.0,45
HK.00609,37.0,49
HK.00610,77.0,68
HK.00611,42.0,29
HK.00613,95.0,89
HK.00616,5.0,77
HK.00617,45.0,80
HK.00618,88.0,35
HK.00619,51.0,46
HK.00620,15.0,19
HK.00621,25.0,18
HK.00622,97.0,93
HK.00623,74.0,79
HK.00626,93.0,97
HK.00627,22.0,6
HK.00628,57.0,9
HK.00629,47.0,69
HK.00630,27.0,96
HK.00631,83.0,94
HK.00632,8.0,31
HK.00635,74.0,80
HK.00636,53.0,67
HK.00637,58.0,54
HK.00639,75.0,86
HK.00640,56.0,37
HK.00641,78.0,43
HK.00643,15.0,15
HK.00645,83.0,72
HK.00646,95.0,98
HK.00648,0.0,2
HK.00650,16.0,6
HK.00653,92.0,98
HK.00655,84.0,53
HK.00656,80.0,84
HK.00657,77.0,93
HK.00658,8.0,9
HK.00659,67.0,56
HK.00660,93.0,40
HK.00661,90.0,95
HK.00662,71.0,56
HK.00664,,13
HK.00666,15.0,10
HK.00667,24.0,37
HK.00669,81.0,40
HK.00670,15.0,10
HK.00672,23.0,32
HK.00673,6.0,6
HK.00674,22.0,61
HK.00675,57.0,47
HK.00676,68.0,63
HK.00677,78.0,80
HK.00679,97.0,4
HK.00681,49.0,66
HK.00682,40.0,46
HK.00683,46.0,34
HK.00684,34.0,62
HK.00685,53.0,49
HK.00686,14.0,19
HK.00687,86.0,91
HK.00688,46.0,24
HK.00689,25.0,12
HK.00690,19.0,87
HK.00691,5.0,29
HK.00693,61.0,53
HK.00694,23.0,34
HK.00695,78.0,35
HK.00696,48.0,65
HK.00697,17.0,7
HK.00698,27.0,84
HK.00700,35.0,38
HK.00701,10.0,26
HK.00702,65.0,58
HK.00703,27.0,48
HK.00704,45.0,58
HK.00707,65.0,58
HK.00708,65.0,58
HK.00709,62.0,64
HK.00710,37.0,49
HK.00711,71.0,54
HK.00712,13.0,32
HK.00713,31.0,28
HK.00716,21.0,32
HK.00717,27.0,44
HK.00718,52.0,72
HK.00719,43.0,33
HK.00720,78.0,32
HK.00722,43.0,24
HK.00723,82.0,91
HK.00725,79.0,41
HK.00726,17.0,9
HK.00727,10.0,7
HK.00728,52.0,63
HK.00730,53.0,42
HK.00731,81.0,13
HK.00732,38.0,39
HK.00733,15.0,9
HK.00736,3.0,42
HK.00737,76.0,77
HK.00738,89.0,89
HK.00743,38.0,14
HK.00745,98.0,49
HK.00746,55.0,68
HK.00747,39.0,64
HK.00750,26.0,23
HK.00751,43.0,19
HK.00752,42.0,36
HK.00753,16.0,19
HK.00754,50.0,58
HK.00755,15.0,24
HK.00756,91.0,97
HK.00757,23.0,30
HK.00759,41.0,29
HK.00760,15.0,14
HK.00762,25.0,31
HK.00763,33.0,22
HK.00764,7.0,33
HK.00765,13.0,62
HK.00767,56.0,91
HK.00769,65.0,58
HK.00771,61.0,71
HK.00772,16.0,24
HK.00775,18.0,38
HK.00776,1.0,5
HK.00777,52.0,72
HK.00780,10.0,9
HK.00784,97.0,48
HK.00788,44.0,53
HK.00789,5.0,3
HK.00794,91.0,93
HK.00797,91.0,91
HK.00798,14.0,17
HK.00799,68.0,33
HK.00800,,46
HK.00804,98.0,98
HK.00805,98.0,96
HK.00806,45.0,51
HK.00807,45.0,39
HK.00809,6.0,22
HK.00811,32.0,17
HK.00813,1.0,1
HK.00814,63.0,71
HK.00815,5.0,14
HK.00816,50.0,51
HK.00817,33.0,10
HK.00818,20.0,34
HK.00819,12.0,9
HK.00821,76.0,95
HK.00822,45.0,12
HK.00825,51.0,66
HK.00826,61.0,62
HK.00827,88.0,72
HK.00828,18.0,23
HK.00829,82.0,97
HK.00830,30.0,83
HK.00831,86.0,81
HK.00832,10.0,31
HK.00833,36.0,3
HK.00834,37.0,37
HK.00836,71.0,74
HK.00837,42.0,41
HK.00838,32.0,21
HK.00839,28.0,62
HK.00840,36.0,54
HK.00841,60.0,76
HK.00842,28.0,27
HK.00844,60.0,61
HK.00845,65.0,58
HK.00846,18.0,20
HK.00848,36.0,27
HK.00851,35.0,46
HK.00852,65.0,58
HK.00853,14.0,22
HK.00854,43.0,38
HK.00855,38.0,36
HK.00856,70.0,32
HK.00857,80.0,78
HK.00858,73.0,82
HK.00859,73.0,68
HK.00860,72.0,94
HK.00861,55.0,88
HK.00862,94.0,55
HK.00863,23.0,13
HK.00864,52.0,9
HK.00865,84.0,74
HK.00866,38.0,92
HK.00867,54.0,44
HK.00868,56.0,41
HK.00869,60.0,71
HK.00871,10.0,7
HK.00873,14.0,23
HK.00874,34.0,23
HK.00875,4.0,4
HK.00876,21.0,19
HK.00878,55.0,42
HK.00880,14.0,34
HK.00881,1.0,2
HK.00882,49.0,61
HK.00883,78.0,78
HK.00884,2.0,7
HK.00887,78.0,83
