code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00187,11.0,14,1,29,1.0
HK.00188,53.0,66,0,0,0.45
HK.00189,37.0,8,1,13,0.75
HK.00191,12.0,3,1,66,1.0
HK.00193,61.0,63,0,0,0.2
HK.00194,58.0,49,0,0,0.35
HK.00196,4.0,4,1,5,0.85
HK.00197,93.0,92,0,0,0.0
HK.00199,98.0,80,0,0,0.8
HK.00200,19.0,14,1,13,0.95
HK.00201,39.0,32,0,0,0.8
HK.00202,30.0,95,0,0,0.1
HK.00205,52.0,8,1,6,0.65
HK.00206,8.0,6,1,17,0.9
HK.00209,0.0,1,1,26,1.0
HK.00210,26.0,37,0,0,0.8
HK.00211,68.0,64,0,0,0.15
HK.00212,66.0,63,0,0,0.1
HK.00213,67.0,78,0,0,0.05
HK.00214,45.0,80,0,0,0.0
HK.00215,68.0,54,0,0,0.05
HK.00216,22.0,27,1,30,1.0
HK.00217,34.0,48,0,0,0.4
HK.00218,25.0,26,1,11,0.7
HK.00219,72.0,42,1,1,0.5
HK.00220,51.0,30,1,10,0.95
HK.00222,28.0,18,1,1,0.95
HK.00223,32.0,78,0,0,0.35
HK.00224,74.0,81,0,0,0.05
HK.00225,51.0,46,0,0,0.55
HK.00227,8.0,9,1,17,0.9
HK.00228,3.0,2,1,66,1.0
HK.00229,42.0,46,1,1,0.35
HK.00232,96.0,82,0,0,0.0
HK.00234,70.0,86,0,0,0.25
HK.00235,31.0,53,0,0,0.4
HK.00236,45.0,49,0,0,0.1
HK.00237,57.0,29,1,17,0.85
HK.00239,72.0,60,0,0,0.2
HK.00240,68.0,47,0,0,0.4
HK.00241,15.0,21,1,5,0.95
HK.00242,34.0,68,0,0,0.15
HK.00243,80.0,34,1,3,0.55
HK.00244,60.0,80,1,3,0.2
HK.00245,40.0,30,1,6,0.65
HK.00247,60.0,58,0,0,0.15
HK.00248,47.0,80,0,0,0.5
HK.00251,39.0,23,1,9,0.75
HK.00252,67.0,65,0,0,0.05
HK.00253,68.0,53,0,0,0.55
HK.00254,72.0,92,0,0,0.0
HK.00255,56.0,49,1,4,0.2
HK.00256,79.0,94,0,0,0.0
HK.00257,59.0,34,1,6,0.55
HK.00258,52.0,55,0,0,0.05
HK.00259,20.0,17,0,0,0.95
HK.00261,70.0,79,1,2,0.15
HK.00262,63.0,64,0,0,0.3
HK.00264,14.0,9,1,10,0.9
HK.00265,29.0,18,1,57,1.0
HK.00266,56.0,56,0,0,0.25
HK.00267,80.0,77,0,0,0.0
HK.00268,34.0,41,1,3,0.7
HK.00269,58.0,58,0,0,0.15
HK.00270,84.0,81,0,0,0.0
HK.00271,20.0,10,1,1,0.95
HK.00272,32.0,74,0,0,0.2
HK.00274,62.0,58,0,0,0.15
HK.00276,38.0,47,1,1,0.4
HK.00277,19.0,37,0,0,0.55
HK.00279,20.0,71,0,0,0.25
HK.00280,82.0,67,0,0,0.35
HK.00285,30.0,47,1,6,0.55
HK.00286,62.0,58,0,0,0.15
HK.00287,69.0,68,0,0,0.15
HK.00288,26.0,8,1,24,1.0
