code,rs_percentile_12m,rs_percentile_3m
HK.00001,81.0,46
HK.00002,78.0,62
HK.00003,73.0,76
HK.00004,48.0,51
HK.00005,88.0,65
HK.00006,78.0,66
HK.00008,62.0,52
HK.00010,45.0,36
HK.00012,58.0,48
HK.00013,76.0,88
HK.00014,55.0,30
HK.00016,67.0,31
HK.00017,26.0,14
HK.00018,22.0,26
HK.00019,89.0,80
HK.00020,17.0,18
HK.00021,32.0,18
HK.00022,10.0,95
HK.00023,90.0,94
HK.00025,85.0,76
HK.00026,69.0,64
HK.00027,59.0,66
HK.00028,29.0,34
HK.00029,31.0,32
HK.00030,57.0,52
HK.00031,21.0,18
HK.00032,46.0,35
HK.00033,62.0,59
HK.00034,72.0,30
HK.00035,47.0,50
HK.00036,78.0,59
HK.00037,62.0,42
HK.00038,85.0,89
HK.00039,19.0,59
HK.00040,56.0,48
HK.00041,61.0,38
HK.00042,15.0,15
HK.00045,51.0,54
HK.00046,54.0,70
HK.00048,93.0,75
HK.00050,63.0,53
HK.00051,55.0,34
HK.00052,73.0,74
HK.00053,66.0,63
HK.00055,28.0,25
HK.00057,51.0,47
HK.00058,74.0,40
HK.00059,65.0,59
HK.00060,82.0,87
HK.00061,10.0,20
HK.00062,40.0,23
HK.00063,13.0,52
HK.00064,85.0,76
HK.00065,49.0,90
HK.00066,75.0,65
HK.00068,,10
HK.00069,54.0,52
HK.00070,85.0,96
HK.00071,63.0,56
HK.00072,42.0,39
HK.00073,63.0,44
HK.00075,42.0,15
HK.00076,49.0,86
HK.00077,89.0,89
HK.00078,42.0,73
HK.00079,83.0,70
HK.00081,79.0,81
HK.00082,46.0,41
HK.00083,54.0,36
HK.00084,69.0,70
HK.00085,12.0,10
HK.00086,71.0,66
HK.00087,84.0,73
HK.00088,53.0,45
HK.00089,55.0,50
HK.00090,29.0,38
HK.00092,49.0,34
HK.00093,21.0,18
HK.00094,36.0,25
HK.00095,38.0,41
HK.00096,58.0,68
HK.00097,27.0,38
HK.00098,31.0,15
HK.00099,63.0,72
HK.00100,,8
HK.00101,38.0,28
HK.00103,49.0,88
HK.00104,74.0,68
HK.00105,66.0,52
HK.00106,65.0,59
HK.00107,60.0,68
HK.00108,37.0,68
HK.00110,96.0,72
HK.00111,83.0,88
HK.00113,74.0,35
HK.00114,72.0,45
HK.00115,9.0,2
HK.00116,78.0,86
HK.00117,98.0,52
HK.00118,47.0,63
HK.00119,14.0,6
HK.00120,8.0,21
HK.00122,45.0,35
HK.00123,19.0,10
HK.00124,36.0,45
HK.00125,45.0,47
HK.00126,18.0,19
HK.00127,39.0,38
HK.00128,93.0,97
HK.00129,23.0,36
HK.00130,63.0,39
HK.00131,67.0,54
HK.00132,21.0,26
HK.00135,74.0,84
HK.00136,24.0,62
HK.00137,60.0,65
HK.00138,4.0,15
HK.00139,9.0,51
HK.00142,43.0,37
HK.00144,77.0,84
HK.00145,75.0,88
HK.00146,63.0,80
HK.00147,94.0,99
HK.00148,89.0,49
HK.00149,52.0,37
HK.00150,50.0,50
HK.00151,11.0,15
HK.00152,25.0,49
HK.00154,39.0,77
HK.00156,81.0,75
HK.00157,50.0,47
HK.00158,64.0,67
HK.00159,5.0,3
HK.00160,15.0,23
HK.00162,29.0,35
HK.00163,14.0,12
HK.00164,67.0,27
HK.00165,40.0,74
HK.00166,56.0,89
HK.00167,96.0,40
HK.00168,39.0,25
HK.00169,20.0,29
HK.00171,32.0,92
HK.00173,55.0,55
HK.00174,20.0,14
HK.00175,46.0,18
HK.00176,65.0,59
HK.00177,75.0,76
HK.00178,93.0,93
HK.00179,23.0,31
HK.00180,62.0,62
HK.00181,32.0,18
HK.00182,55.0,73
HK.00183,54.0,72
HK.00184,73.0,63
HK.00185,17.0,23
HK.00186,95.0,97
HK.00187,12.0,16
HK.00188,48.0,43
HK.00189,41.0,17
HK.00191,18.0,7
HK.00193,57.0,51
HK.00194,58.0,56
HK.00196,6.0,6
HK.00197,92.0,96
HK.00199,97.0,43
HK.00200,19.0,22
HK.00201,41.0,29
HK.00202,14.0,93
HK.00205,75.0,48
HK.00206,10.0,10
HK.00209,0.0,0
HK.00210,24.0,17
HK.00211,68.0,69
HK.00212,68.0,62
HK.00213,67.0,76
HK.00214,43.0,85
HK.00215,71.0,66
HK.00216,25.0,30
HK.00217,30.0,30
HK.00218,24.0,44
HK.00219,75.0,51
HK.00220,52.0,32
HK.00222,69.0,47
HK.00223,29.0,63
HK.00224,69.0,74
HK.00225,56.0,43
HK.00227,6.0,4
HK.00228,5.0,2
HK.00229,56.0,66
HK.00232,96.0,81
HK.00234,49.0,73
HK.00235,30.0,49
HK.00236,50.0,49
HK.00237,64.0,45
HK.00239,74.0,69
