code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,82.0,52,0,0,0.9
HK.00002,80.0,70,0,0,0.2
HK.00003,74.0,80,0,0,0.2
HK.00004,44.0,39,1,11,0.7
HK.00005,89.0,75,0,0,0.4
HK.00006,80.0,77,0,0,0.15
HK.00008,65.0,51,0,0,0.8
HK.00010,43.0,37,1,39,1.0
HK.00012,60.0,64,0,0,0.55
HK.00013,70.0,85,0,0,0.05
HK.00014,57.0,29,1,29,1.0
HK.00016,73.0,53,1,2,0.6
HK.00017,33.0,19,1,9,0.6
HK.00018,21.0,29,1,1,0.45
HK.00019,90.0,87,0,0,0.0
HK.00020,19.0,31,1,9,0.65
HK.00021,30.0,18,1,8,0.65
HK.00022,2.0,31,0,0,0.85
HK.00023,90.0,93,0,0,0.0
HK.00025,84.0,72,0,0,0.6
HK.00026,68.0,62,0,0,0.45
HK.00027,53.0,60,1,2,0.15
HK.00028,26.0,31,1,16,0.9
HK.00029,30.0,34,0,0,0.85
HK.00030,53.0,35,1,2,0.6
HK.00031,20.0,17,1,3,0.85
HK.00032,54.0,48,0,0,0.5
HK.00033,57.0,55,0,0,0.65
HK.00034,70.0,24,1,10,0.9
HK.00035,51.0,61,0,0,0.8
HK.00036,77.0,55,0,0,0.65
HK.00037,68.0,45,0,0,0.4
HK.00038,84.0,90,0,0,0.25
HK.00039,19.0,55,0,0,0.65
HK.00040,59.0,51,0,0,0.55
HK.00041,62.0,43,0,0,0.65
HK.00042,18.0,27,0,0,0.75
HK.00045,54.0,60,0,0,0.55
HK.00046,56.0,72,0,0,0.2
HK.00048,93.0,74,0,0,0.25
HK.00050,70.0,69,0,0,0.25
HK.00051,58.0,39,1,5,0.7
HK.00052,74.0,72,0,0,0.4
HK.00053,66.0,63,0,0,0.25
HK.00055,35.0,21,1,1,0.55
HK.00057,50.0,48,0,0,0.65
HK.00058,75.0,50,1,12,0.65
HK.00059,64.0,55,0,0,0.65
HK.00060,84.0,85,0,0,0.0
HK.00061,7.0,13,1,33,1.0
HK.00062,47.0,37,1,18,0.9
HK.00063,13.0,68,0,0,0.35
HK.00064,84.0,75,0,0,0.1
HK.00065,53.0,88,0,0,0.15
HK.00066,78.0,75,0,0,0.3
HK.00068,,51,0,0,0.55
HK.00069,50.0,53,0,0,0.6
HK.00070,85.0,95,0,0,0.2
HK.00071,65.0,57,0,0,0.3
HK.00072,22.0,7,1,12,0.7
HK.00073,60.0,67,0,0,0.75
HK.00075,36.0,21,1,15,0.75
HK.00076,52.0,88,0,0,0.25
HK.00077,84.0,76,0,0,0.15
HK.00078,43.0,79,0,0,0.25
HK.00079,78.0,66,1,3,0.35
HK.00081,81.0,88,0,0,0.0
HK.00082,35.0,25,1,44,1.0
HK.00083,60.0,47,0,0,0.5
HK.00084,69.0,66,0,0,0.35
HK.00085,13.0,13,1,51,1.0
HK.00086,69.0,61,0,0,0.3
HK.00087,87.0,82,0,0,0.0
HK.00088,52.0,43,1,5,0.85
HK.00089,45.0,26,1,4,0.9
HK.00090,42.0,43,0,0,0.65
HK.00092,60.0,82,0,0,0.25
HK.00093,32.0,67,0,0,0.8
HK.00094,38.0,25,1,30,1.0
HK.00095,40.0,68,1,2,0.5
HK.00096,48.0,59,0,0,0.35
HK.00097,23.0,32,0,0,0.75
HK.00098,25.0,10,1,16,0.85
HK.00099,58.0,38,0,0,0.55
HK.00100,,29,1,2,0.3
HK.00101,42.0,39,1,12,0.9
HK.00103,45.0,87,0,0,0.05
HK.00104,75.0,69,0,0,0.05
HK.00105,65.0,48,0,0,0.8
HK.00106,64.0,55,0,0,0.65
HK.00107,62.0,72,0,0,0.35
HK.00108,47.0,89,0,0,0.3
HK.00110,96.0,88,1,7,0.35
HK.00111,80.0,87,0,0,0.3
HK.00113,74.0,39,1,1,0.8
HK.00114,73.0,49,0,0,0.55
HK.00115,22.0,3,1,62,1.0
HK.00116,82.0,90,1,1,0.05
HK.00117,98.0,38,0,0,0.8
HK.00118,50.0,62,0,0,0.45
HK.00119,15.0,7,1,21,1.0
HK.00120,12.0,42,0,0,0.5
HK.00122,48.0,41,1,11,0.7
HK.00123,18.0,9,1,9,0.7
HK.00124,33.0,41,0,0,0.55
HK.00125,41.0,43,1,5,0.65
HK.00126,16.0,14,1,4,0.8
HK.00127,40.0,43,1,2,0.85
HK.00128,93.0,97,0,0,0.6
HK.00129,24.0,35,0,0,0.65
HK.00130,73.0,42,0,0,0.65
HK.00131,67.0,49,0,0,0.45
HK.00132,22.0,22,1,1,0.85
HK.00135,71.0,80,0,0,0.25
HK.00136,36.0,71,0,0,0.7
HK.00137,67.0,65,0,0,0.65
HK.00138,4.0,13,0,0,0.75
HK.00139,10.0,63,1,7,0.6
HK.00142,50.0,53,0,0,0.8
HK.00144,79.0,87,0,0,0.0
HK.00145,87.0,93,0,0,0.3
HK.00146,62.0,78,0,0,0.65
HK.00147,92.0,99,0,0,0.0
HK.00148,88.0,31,0,0,0.45
