code,rs_percentile_12m,rs_percentile_3m
HK.00327,47.0,70
HK.00328,7.0,91
HK.00329,2.0,2
HK.00330,12.0,40
HK.00331,53.0,51
HK.00332,4.0,15
HK.00333,27.0,33
HK.00334,29.0,18
HK.00335,69.0,75
HK.00336,51.0,84
HK.00337,4.0,3
HK.00338,43.0,60
HK.00340,83.0,91
HK.00341,76.0,76
HK.00343,28.0,62
HK.00345,68.0,75
HK.00346,16.0,39
HK.00347,20.0,51
HK.00348,19.0,51
HK.00351,64.0,42
HK.00352,56.0,57
HK.00353,82.0,85
HK.00354,48.0,74
HK.00355,60.0,72
HK.00357,28.0,75
HK.00358,67.0,43
HK.00360,70.0,96
HK.00361,28.0,20
HK.00362,65.0,57
HK.00363,66.0,62
HK.00365,44.0,6
HK.00366,48.0,46
HK.00367,31.0,43
HK.00368,98.0,80
HK.00369,60.0,39
HK.00370,5.0,43
HK.00371,13.0,3
HK.00372,19.0,9
HK.00373,34.0,24
HK.00374,64.0,65
HK.00375,52.0,39
HK.00376,28.0,90
HK.00377,98.0,98
HK.00379,48.0,75
HK.00380,48.0,69
HK.00381,3.0,13
HK.00382,6.0,46
HK.00383,37.0,34
HK.00384,30.0,49
HK.00385,17.0,35
HK.00386,74.0,77
HK.00387,58.0,22
HK.00388,67.0,63
HK.00389,79.0,95
HK.00390,45.0,48
HK.00391,97.0,98
HK.00392,60.0,67
HK.00393,68.0,54
HK.00396,91.0,11
HK.00397,60.0,88
HK.00398,71.0,69
HK.00399,10.0,57
HK.00400,87.0,76
HK.00401,47.0,12
HK.00403,80.0,85
HK.00406,22.0,27
HK.00408,89.0,85
HK.00410,14.0,22
HK.00411,73.0,76
HK.00412,3.0,76
HK.00413,37.0,54
HK.00417,33.0,62
HK.00418,38.0,53
HK.00419,81.0,19
HK.00420,71.0,38
HK.00422,39.0,54
HK.00423,44.0,42
HK.00425,24.0,14
HK.00426,87.0,87
HK.00430,42.0,47
HK.00432,48.0,26
HK.00433,12.0,6
HK.00434,50.0,92
HK.00436,72.0,89
HK.00438,11.0,26
HK.00439,11.0,16
HK.00440,85.0,75
HK.00442,22.0,30
HK.00444,65.0,57
HK.00450,38.0,28
HK.00451,7.0,6
HK.00455,75.0,78
HK.00456,44.0,9
HK.00458,68.0,39
HK.00460,10.0,9
HK.00464,27.0,21
HK.00465,98.0,64
HK.00467,42.0,83
HK.00468,65.0,57
HK.00470,,15
HK.00471,1.0,7
HK.00472,33.0,24
HK.00474,96.0,88
HK.00475,18.0,8
HK.00476,79.0,95
HK.00480,53.0,37
HK.00482,16.0,13
HK.00483,30.0,41
HK.00484,27.0,15
HK.00485,36.0,9
HK.00486,17.0,31
HK.00487,35.0,84
HK.00488,57.0,40
HK.00491,76.0,94
HK.00493,21.0,50
HK.00496,6.0,39
HK.00497,32.0,17
HK.00498,17.0,57
HK.00499,91.0,84
HK.00500,51.0,68
HK.00505,67.0,71
HK.00506,71.0,86
HK.00508,27.0,29
HK.00509,65.0,57
HK.00510,42.0,15
HK.00511,31.0,34
HK.00512,30.0,39
HK.00513,71.0,93
HK.00515,57.0,57
HK.00517,76.0,84
HK.00518,52.0,63
HK.00519,43.0,39
HK.00520,3.0,6
HK.00521,20.0,22
HK.00522,91.0,30
HK.00524,97.0,32
HK.00525,76.0,79
HK.00526,53.0,11
HK.00527,85.0,89
HK.00528,75.0,78
HK.00529,44.0,33
HK.00532,40.0,28
HK.00533,50.0,41
HK.00535,12.0,42
HK.00536,78.0,67
HK.00538,59.0,47
HK.00540,82.0,78
HK.00542,84.0,88
HK.00543,36.0,22
HK.00544,7.0,20
HK.00546,11.0,16
HK.00547,15.0,6
HK.00548,68.0,67
HK.00550,97.0,2
HK.00551,56.0,44
HK.00552,58.0,55
HK.00553,12.0,23
HK.00554,43.0,51
HK.00556,69.0,7
HK.00557,20.0,19
HK.00558,2.0,9
HK.00559,51.0,57
HK.00560,37.0,43
HK.00563,27.0,41
HK.00564,19.0,16
HK.00565,95.0,96
HK.00567,94.0,62
HK.00568,50.0,23
HK.00570,18.0,25
HK.00571,46.0,55
HK.00572,47.0,51
HK.00573,49.0,71
HK.00574,3.0,29
HK.00575,41.0,20
HK.00576,47.0,35
HK.00579,31.0,27
HK.00580,6.0,3
HK.00581,30.0,28
HK.00582,69.0,91
HK.00583,38.0,30
HK.00585,97.0,21
HK.00586,20.0,11
HK.00587,7.0,31
HK.00588,37.0,37
HK.00590,45.0,32
HK.00591,49.0,64
HK.00595,96.0,84
HK.00596,3.0,4
HK.00598,73.0,77
HK.00599,29.0,32
HK.00600,,95
HK.00601,65.0,57
HK.00602,36.0,31
