code,rs_percentile_12m,rs_percentile_3m
HK.00001,80.0,47
HK.00002,75.0,60
HK.00003,72.0,65
HK.00004,54.0,64
HK.00005,85.0,51
HK.00006,75.0,64
HK.00008,58.0,41
HK.00010,42.0,32
HK.00012,59.0,35
HK.00013,76.0,89
HK.00014,49.0,28
HK.00016,64.0,20
HK.00017,27.0,13
HK.00018,21.0,42
HK.00019,88.0,78
HK.00020,25.0,28
HK.00021,57.0,84
HK.00022,21.0,96
HK.00023,90.0,91
HK.00025,81.0,73
HK.00026,68.0,59
HK.00027,58.0,46
HK.00028,29.0,40
HK.00029,27.0,30
HK.00030,41.0,33
HK.00031,22.0,30
HK.00032,44.0,35
HK.00033,57.0,55
HK.00034,74.0,38
HK.00035,44.0,48
HK.00036,77.0,55
HK.00037,59.0,41
HK.00038,82.0,73
HK.00039,19.0,55
HK.00040,56.0,53
HK.00041,57.0,26
HK.00042,17.0,24
HK.00045,56.0,44
HK.00046,52.0,58
HK.00048,92.0,53
HK.00050,63.0,45
HK.00051,68.0,65
HK.00052,43.0,24
HK.00053,68.0,67
HK.00055,18.0,9
HK.00057,60.0,60
HK.00058,44.0,11
HK.00059,61.0,55
HK.00060,80.0,87
HK.00061,19.0,34
HK.00062,40.0,29
HK.00063,8.0,30
HK.00064,82.0,65
HK.00065,86.0,96
HK.00066,76.0,61
HK.00068,,23
HK.00069,42.0,32
HK.00070,85.0,95
HK.00071,66.0,52
HK.00072,41.0,52
HK.00073,52.0,42
HK.00075,57.0,52
HK.00076,51.0,75
HK.00077,85.0,84
HK.00078,41.0,75
HK.00079,87.0,79
HK.00081,85.0,79
HK.00082,66.0,81
HK.00083,58.0,38
HK.00084,52.0,47
HK.00085,13.0,13
HK.00086,69.0,62
HK.00087,84.0,72
HK.00088,46.0,30
HK.00089,45.0,46
HK.00090,42.0,68
HK.00092,55.0,63
HK.00093,31.0,35
HK.00094,10.0,5
HK.00095,34.0,33
HK.00096,58.0,68
HK.00097,26.0,40
HK.00098,21.0,8
HK.00099,69.0,90
HK.00100,,62
HK.00101,35.0,22
HK.00103,38.0,88
HK.00104,72.0,59
HK.00105,59.0,51
HK.00106,61.0,55
HK.00107,70.0,70
HK.00108,43.0,84
HK.00110,95.0,13
HK.00111,80.0,81
HK.00113,74.0,41
HK.00114,79.0,77
HK.00115,78.0,93
HK.00116,79.0,58
HK.00117,98.0,92
HK.00118,49.0,75
HK.00119,21.0,11
HK.00120,16.0,62
HK.00122,47.0,48
HK.00123,32.0,19
HK.00124,39.0,52
HK.00125,39.0,58
HK.00126,8.0,12
HK.00127,34.0,31
HK.00128,91.0,97
HK.00129,37.0,72
HK.00130,64.0,38
HK.00131,66.0,57
HK.00132,14.0,9
HK.00135,72.0,74
HK.00136,41.0,78
HK.00137,54.0,45
HK.00138,4.0,29
HK.00139,14.0,6
HK.00142,45.0,35
HK.00144,82.0,85
HK.00145,72.0,88
HK.00146,69.0,85
HK.00147,95.0,99
HK.00148,89.0,81
HK.00149,43.0,44
HK.00150,42.0,43
HK.00151,9.0,9
HK.00152,21.0,29
HK.00154,34.0,75
HK.00156,84.0,87
HK.00157,39.0,35
HK.00158,60.0,64
HK.00159,7.0,16
HK.00160,19.0,32
HK.00162,34.0,42
HK.00163,6.0,3
HK.00164,71.0,61
HK.00165,46.0,81
HK.00166,57.0,81
HK.00167,94.0,69
HK.00168,38.0,23
HK.00169,20.0,30
HK.00171,13.0,40
HK.00173,49.0,36
HK.00174,20.0,16
HK.00175,42.0,14
HK.00176,61.0,55
HK.00177,77.0,80
HK.00178,93.0,93
HK.00179,19.0,39
HK.00180,68.0,78
HK.00181,38.0,78
HK.00182,37.0,25
HK.00183,44.0,75
HK.00184,69.0,52
HK.00185,29.0,39
HK.00186,96.0,98
HK.00187,12.0,14
HK.00188,52.0,53
HK.00189,37.0,11
HK.00191,10.0,2
HK.00193,58.0,61
HK.00194,56.0,43
HK.00196,5.0,4
HK.00197,93.0,97
HK.00199,98.0,41
HK.00200,22.0,17
HK.00201,36.0,27
HK.00202,29.0,94
HK.00205,64.0,16
HK.00206,13.0,9
HK.00209,0.0,1
HK.00210,18.0,15
HK.00211,67.0,62
HK.00212,66.0,62
HK.00213,67.0,74
HK.00214,43.0,79
HK.00215,69.0,58
HK.00216,21.0,25
HK.00217,33.0,46
HK.00218,25.0,24
HK.00219,74.0,48
HK.00220,55.0,33
HK.00222,36.0,34
HK.00223,45.0,89
HK.00224,73.0,80
HK.00225,50.0,44
HK.00227,9.0,10
HK.00228,2.0,1
HK.00229,52.0,65
HK.00232,96.0,79
HK.00234,79.0,92
HK.00235,36.0,60
HK.00236,44.0,46
HK.00237,56.0,27
HK.00239,71.0,61
HK.00240,69.0,50
HK.00241,16.0,22
HK.00242,39.0,77
HK.00243,78.0,24
HK.00244,58.0,79
HK.00245,41.0,30
HK.00247,59.0,55
HK.00248,47.0,79
HK.00251,38.0,22
HK.00252,66.0,62
HK.00253,64.0,47
HK.00254,70.0,94
HK.00255,54.0,47
HK.00256,78.0,95
HK.00257,59.0,36
HK.00258,54.0,65
HK.00259,14.0,9
HK.00261,70.0,80
HK.00262,55.0,60
HK.00264,15.0,12
HK.00265,30.0,16
HK.00266,57.0,60
HK.00267,80.0,77
HK.00268,38.0,59
HK.00269,57.0,55
HK.00270,83.0,81
HK.00271,20.0,9
HK.00272,39.0,84
HK.00274,61.0,55
HK.00276,54.0,71
HK.00277,18.0,35
HK.00279,27.0,78
HK.00280,84.0,71
HK.00285,31.0,59
HK.00286,61.0,55
HK.00287,69.0,66
HK.00288,26.0,7
HK.00289,65.0,52
HK.00290,15.0,57
HK.00291,28.0,20
HK.00293,85.0,66
HK.00294,85.0,85
HK.00295,35.0,28
HK.00296,23.0,22
HK.00297,39.0,31
HK.00298,35.0,38
HK.00299,61.0,55
HK.00300,81.0,67
HK.00301,98.0,91
HK.00302,16.0,32
HK.00303,54.0,64
HK.00305,20.0,13
HK.00306,65.0,32
HK.00308,65.0,64
HK.00309,12.0,22
HK.00311,88.0,88
HK.00312,17.0,25
HK.00313,44.0,69
HK.00314,30.0,78
HK.00315,70.0,64
HK.00316,79.0,43
HK.00317,77.0,91
HK.00318,88.0,53
HK.00320,43.0,45
HK.00321,52.0,18
HK.00322,75.0,43
HK.00323,30.0,45
HK.00325,77.0,81
HK.00326,93.0,37
HK.00327,48.0,47
HK.00328,4.0,84
HK.00329,1.0,3
HK.00330,9.0,33
HK.00331,51.0,48
HK.00332,4.0,46
HK.00333,27.0,28
HK.00334,33.0,12
HK.00335,65.0,69
HK.00336,66.0,87
HK.00337,6.0,6
HK.00338,44.0,44
HK.00340,82.0,73
HK.00341,73.0,69
HK.00343,75.0,96
HK.00345,56.0,65
HK.00346,14.0,47
HK.00347,25.0,47
HK.00348,22.0,76
HK.00351,53.0,27
HK.00352,61.0,55
HK.00353,87.0,87
HK.00354,64.0,77
HK.00355,51.0,48
HK.00357,17.0,24
HK.00358,72.0,25
HK.00360,28.0,88
HK.00361,71.0,90
HK.00362,61.0,55
HK.00363,64.0,51
HK.00365,58.0,14
HK.00366,54.0,61
HK.00367,20.0,21
HK.00368,98.0,74
HK.00369,52.0,24
HK.00370,2.0,35
HK.00371,11.0,9
HK.00372,26.0,42
HK.00373,35.0,25
HK.00374,63.0,68
HK.00375,69.0,74
HK.00376,36.0,87
HK.00377,55.0,1
HK.00379,95.0,98
HK.00380,50.0,65
HK.00381,2.0,8
HK.00382,6.0,47
HK.00383,52.0,70
HK.00384,31.0,40
HK.00385,20.0,57
HK.00386,74.0,68
HK.00387,56.0,24
HK.00388,67.0,51
HK.00389,71.0,85
HK.00390,45.0,32
HK.00391,97.0,98
HK.00392,65.0,64
HK.00393,66.0,53
HK.00396,90.0,3
HK.00397,41.0,47
HK.00398,67.0,65
HK.00399,10.0,55
HK.00400,89.0,88
HK.00401,63.0,8
HK.00403,77.0,83
HK.00406,38.0,67
HK.00408,88.0,82
HK.00410,9.0,10
HK.00411,65.0,64
HK.00412,6.0,71
HK.00413,23.0,48
HK.00417,35.0,67
HK.00418,62.0,80
HK.00419,81.0,30
HK.00420,69.0,41
HK.00422,45.0,61
HK.00423,42.0,32
HK.00425,27.0,9
HK.00426,90.0,88
HK.00430,44.0,63
HK.00432,47.0,20
HK.00433,4.0,2
HK.00434,77.0,92
HK.00436,50.0,57
HK.00438,9.0,21
HK.00439,10.0,15
HK.00440,85.0,60
HK.00442,40.0,78
HK.00444,61.0,55
HK.00450,38.0,29
HK.00451,5.0,10
HK.00455,82.0,88
HK.00456,68.0,21
HK.00458,52.0,58
HK.00460,11.0,14
HK.00464,23.0,26
HK.00465,98.0,58
HK.00467,49.0,84
HK.00468,61.0,55
HK.00470,,22
HK.00471,1.0,58
HK.00472,24.0,19
HK.00474,93.0,79
HK.00475,8.0,4
HK.00476,73.0,92
HK.00480,58.0,44
HK.00482,10.0,7
HK.00483,21.0,24
HK.00484,31.0,17
HK.00485,29.0,13
HK.00486,25.0,35
HK.00487,17.0,38
HK.00488,63.0,39
HK.00491,64.0,88
HK.00493,25.0,55
HK.00496,6.0,31
HK.00497,24.0,11
HK.00498,15.0,55
HK.00499,91.0,79
HK.00500,59.0,61
HK.00505,75.0,85
HK.00506,64.0,76
HK.00508,23.0,29
HK.00509,61.0,55
HK.00510,18.0,3
HK.00511,25.0,24
HK.00512,28.0,36
HK.00513,86.0,95
HK.00515,53.0,55
HK.00517,81.0,88
HK.00518,21.0,15
HK.00519,26.0,26
HK.00520,4.0,12
HK.00521,23.0,45
HK.00522,91.0,69
HK.00524,98.0,36
HK.00525,75.0,71
HK.00526,33.0,8
HK.00527,83.0,87
HK.00528,71.0,59
HK.00529,43.0,38
HK.00532,51.0,48
HK.00533,47.0,39
HK.00535,17.0,63
HK.00536,76.0,65
HK.00538,62.0,53
HK.00540,63.0,59
HK.00542,79.0,82
HK.00543,28.0,20
HK.00544,5.0,59
HK.00546,13.0,18
HK.00547,24.0,24
HK.00548,57.0,48
HK.00550,94.0,1
HK.00551,53.0,38
HK.00552,65.0,68
HK.00553,21.0,21
HK.00554,39.0,50
HK.00556,37.0,4
HK.00557,19.0,17
HK.00558,2.0,6
HK.00559,64.0,55
HK.00560,35.0,44
HK.00563,37.0,64
HK.00564,17.0,11
HK.00565,95.0,96
HK.00567,94.0,70
HK.00568,49.0,23
HK.00570,19.0,24
HK.00571,35.0,17
HK.00572,39.0,38
HK.00573,49.0,72
HK.00574,3.0,30
HK.00575,43.0,21
HK.00576,45.0,25
HK.00579,28.0,21
HK.00580,5.0,6
HK.00581,38.0,27
HK.00582,30.0,69
HK.00583,28.0,21
HK.00585,97.0,11
HK.00586,20.0,12
HK.00587,6.0,27
HK.00588,42.0,43
HK.00590,49.0,27
HK.00591,43.0,28
HK.00595,96.0,78
HK.00596,3.0,5
HK.00598,72.0,74
HK.00599,30.0,43
HK.00600,,97
HK.00601,46.0,27
HK.00602,73.0,87
HK.00603,29.0,67
HK.00604,31.0,20
HK.00605,40.0,23
HK.00606,46.0,58
HK.00607,12.0,2
HK.00608,27.0,19
HK.00609,33.0,41
HK.00610,72.0,63
HK.00611,46.0,41
HK.00613,96.0,91
HK.00616,1.0,15
HK.00617,46.0,76
HK.00618,81.0,18
HK.00619,41.0,36
HK.00620,5.0,15
HK.00621,39.0,13
HK.00622,97.0,89
HK.00623,75.0,71
HK.00626,92.0,96
HK.00627,86.0,96
HK.00628,70.0,8
HK.00629,59.0,64
HK.00630,34.0,97
HK.00631,75.0,72
HK.00632,8.0,18
HK.00635,72.0,78
HK.00636,50.0,63
HK.00637,48.0,50
HK.00639,78.0,86
HK.00640,58.0,45
HK.00641,76.0,51
HK.00643,16.0,16
HK.00645,89.0,86
HK.00646,93.0,98
HK.00648,0.0,2
HK.00650,12.0,10
HK.00653,92.0,96
HK.00655,86.0,42
HK.00656,78.0,73
HK.00657,83.0,95
HK.00658,17.0,33
HK.00659,70.0,49
HK.00660,90.0,14
HK.00661,92.0,86
HK.00662,64.0,48
HK.00664,,14
HK.00666,8.0,7
HK.00667,24.0,32
HK.00669,82.0,47
HK.00670,16.0,8
HK.00672,12.0,11
HK.00673,7.0,20
HK.00674,26.0,85
HK.00675,53.0,46
HK.00676,64.0,57
HK.00677,78.0,83
HK.00679,97.0,31
HK.00681,43.0,53
HK.00682,40.0,49
HK.00683,47.0,29
HK.00684,27.0,52
HK.00685,44.0,49
HK.00686,8.0,5
HK.00687,82.0,87
HK.00688,67.0,34
HK.00689,29.0,22
HK.00690,11.0,47
HK.00691,6.0,32
HK.00693,59.0,66
HK.00694,25.0,21
HK.00695,71.0,23
HK.00696,53.0,65
HK.00697,17.0,10
HK.00698,32.0,82
HK.00700,40.0,53
HK.00701,7.0,37
HK.00702,61.0,55
HK.00703,21.0,12
HK.00704,88.0,55
HK.00707,61.0,55
HK.00708,61.0,55
HK.00709,55.0,52
HK.00710,49.0,68
HK.00711,74.0,70
HK.00712,14.0,59
HK.00713,28.0,33
HK.00716,17.0,16
HK.00717,16.0,19
HK.00718,39.0,74
HK.00719,54.0,58
HK.00720,71.0,15
HK.00722,46.0,34
HK.00723,80.0,81
HK.00725,80.0,66
HK.00726,48.0,74
HK.00727,5.0,7
HK.00728,50.0,43
HK.00730,62.0,68
HK.00731,79.0,15
HK.00732,34.0,34
HK.00733,20.0,23
HK.00736,18.0,92
HK.00737,74.0,75
HK.00738,82.0,76
HK.00743,26.0,5
HK.00745,98.0,41
HK.00746,56.0,53
HK.00747,47.0,77
HK.00750,29.0,34
HK.00751,21.0,6
HK.00752,40.0,35
HK.00753,19.0,19
HK.00754,45.0,55
HK.00755,36.0,39
HK.00756,93.0,97
HK.00757,19.0,30
HK.00759,46.0,49
HK.00760,16.0,34
HK.00762,21.0,23
HK.00763,44.0,40
HK.00764,4.0,25
HK.00765,25.0,87
HK.00767,45.0,63
HK.00769,61.0,55
HK.00771,59.0,62
HK.00772,24.0,59
HK.00775,24.0,27
HK.00776,1.0,30
HK.00777,58.0,75
HK.00780,8.0,8
HK.00784,98.0,32
HK.00788,44.0,46
HK.00789,13.0,82
HK.00794,90.0,88
HK.00797,90.0,15
HK.00798,19.0,14
HK.00799,67.0,44
HK.00800,,72
HK.00804,98.0,98
HK.00805,98.0,87
HK.00806,45.0,45
HK.00807,41.0,40
HK.00809,14.0,39
HK.00811,41.0,22
HK.00813,1.0,1
HK.00814,63.0,52
HK.00815,6.0,8
HK.00816,51.0,50
HK.00817,52.0,14
HK.00818,15.0,24
HK.00819,10.0,8
HK.00821,78.0,90
HK.00822,35.0,10
HK.00825,37.0,46
HK.00826,56.0,60
HK.00827,71.0,26
HK.00828,15.0,24
HK.00829,80.0,97
HK.00830,28.0,47
HK.00831,84.0,80
HK.00832,10.0,23
HK.00833,33.0,4
HK.00834,45.0,38
HK.00836,75.0,71
HK.00837,36.0,33
HK.00838,35.0,31
HK.00839,32.0,71
HK.00840,15.0,15
HK.00841,39.0,83
HK.00842,25.0,16
HK.00844,38.0,24
HK.00845,61.0,55
HK.00846,26.0,42
HK.00848,31.0,32
HK.00851,50.0,86
HK.00852,87.0,94
HK.00853,18.0,39
HK.00854,38.0,28
HK.00855,36.0,29
HK.00856,70.0,51
HK.00857,79.0,65
HK.00858,59.0,57
HK.00859,82.0,85
HK.00860,67.0,92
HK.00861,80.0,95
HK.00862,92.0,18
HK.00863,14.0,8
HK.00864,30.0,14
