code,rs_percentile_12m,rs_percentile_3m
HK.00001,80.0,48
HK.00002,78.0,63
HK.00003,72.0,63
HK.00004,53.0,54
HK.00005,87.0,67
HK.00006,77.0,64
HK.00008,61.0,44
HK.00010,44.0,34
HK.00012,59.0,42
HK.00013,76.0,88
HK.00014,54.0,30
HK.00016,65.0,20
HK.00017,22.0,12
HK.00018,21.0,25
HK.00019,88.0,76
HK.00020,18.0,18
HK.00021,68.0,73
HK.00022,25.0,97
HK.00023,91.0,93
HK.00025,84.0,75
HK.00026,68.0,59
HK.00027,59.0,63
HK.00028,30.0,33
HK.00029,25.0,21
HK.00030,59.0,52
HK.00031,19.0,23
HK.00032,48.0,40
HK.00033,61.0,56
HK.00034,71.0,34
HK.00035,36.0,31
HK.00036,80.0,56
HK.00037,64.0,45
HK.00038,83.0,84
HK.00039,17.0,56
HK.00040,57.0,53
HK.00041,58.0,26
HK.00042,18.0,19
HK.00045,48.0,51
HK.00046,46.0,54
HK.00048,92.0,68
HK.00050,66.0,54
HK.00051,59.0,41
HK.00052,59.0,59
HK.00053,68.0,65
HK.00055,33.0,31
HK.00057,53.0,48
HK.00058,66.0,27
HK.00059,63.0,56
HK.00060,82.0,88
HK.00061,9.0,18
HK.00062,44.0,32
HK.00063,16.0,86
HK.00064,86.0,71
HK.00065,43.0,85
HK.00066,78.0,65
HK.00068,,32
HK.00069,44.0,36
HK.00070,84.0,95
HK.00071,66.0,62
HK.00072,44.0,29
HK.00073,54.0,37
HK.00075,49.0,43
HK.00076,48.0,85
HK.00077,88.0,87
HK.00078,41.0,75
HK.00079,83.0,74
HK.00081,85.0,85
HK.00082,48.0,47
HK.00083,55.0,31
HK.00084,68.0,58
HK.00085,11.0,9
HK.00086,71.0,62
HK.00087,84.0,72
HK.00088,46.0,34
HK.00089,48.0,28
HK.00090,32.0,40
HK.00092,41.0,20
HK.00093,38.0,44
HK.00094,34.0,13
HK.00095,34.0,24
HK.00096,56.0,59
HK.00097,26.0,45
HK.00098,25.0,9
HK.00099,72.0,82
HK.00100,,72
HK.00101,36.0,25
HK.00103,40.0,85
HK.00104,72.0,61
HK.00105,67.0,53
HK.00106,63.0,56
HK.00107,62.0,67
HK.00108,49.0,90
HK.00110,97.0,89
HK.00111,77.0,78
HK.00113,74.0,42
HK.00114,77.0,53
HK.00115,32.0,32
HK.00116,79.0,65
HK.00117,98.0,92
HK.00118,57.0,77
HK.00119,17.0,6
HK.00120,8.0,16
HK.00122,47.0,41
HK.00123,25.0,15
HK.00124,34.0,47
HK.00125,42.0,44
HK.00126,15.0,18
HK.00127,38.0,36
HK.00128,92.0,97
HK.00129,21.0,38
HK.00130,69.0,37
HK.00131,68.0,59
HK.00132,18.0,16
HK.00135,72.0,78
HK.00136,34.0,70
HK.00137,66.0,61
HK.00138,6.0,38
HK.00139,10.0,7
HK.00142,46.0,39
HK.00144,79.0,81
HK.00145,72.0,87
HK.00146,58.0,77
HK.00147,95.0,99
HK.00148,87.0,65
HK.00149,59.0,74
HK.00150,49.0,54
HK.00151,10.0,12
HK.00152,26.0,47
HK.00154,41.0,78
HK.00156,83.0,81
HK.00157,46.0,47
HK.00158,67.0,68
HK.00159,4.0,2
HK.00160,20.0,31
HK.00162,26.0,28
HK.00163,14.0,10
HK.00164,57.0,34
HK.00165,34.0,73
HK.00166,58.0,89
HK.00167,96.0,60
HK.00168,39.0,21
HK.00169,19.0,26
HK.00171,12.0,71
HK.00173,55.0,50
HK.00174,17.0,13
HK.00175,45.0,18
HK.00176,63.0,56
HK.00177,73.0,73
HK.00178,93.0,94
HK.00179,18.0,37
HK.00180,56.0,49
HK.00181,25.0,15
HK.00182,53.0,67
HK.00183,45.0,48
HK.00184,70.0,52
HK.00185,26.0,70
HK.00186,93.0,97
HK.00187,14.0,25
HK.00188,45.0,42
HK.00189,34.0,17
HK.00191,15.0,7
HK.00193,51.0,46
HK.00194,57.0,48
HK.00196,9.0,37
HK.00197,91.0,96
HK.00199,97.0,30
HK.00200,19.0,16
HK.00201,38.0,24
HK.00202,17.0,91
HK.00205,66.0,27
HK.00206,11.0,12
HK.00209,0.0,0
HK.00210,23.0,19
HK.00211,67.0,59
HK.00212,66.0,54
HK.00213,65.0,70
HK.00214,35.0,77
HK.00215,70.0,62
HK.00216,23.0,26
HK.00217,33.0,34
HK.00218,22.0,34
HK.00219,74.0,46
HK.00220,52.0,28
HK.00222,60.0,38
HK.00223,46.0,90
HK.00224,67.0,73
HK.00225,54.0,39
HK.00227,7.0,7
HK.00228,4.0,2
HK.00229,54.0,63
HK.00232,96.0,80
HK.00234,66.0,88
HK.00235,19.0,21
HK.00236,47.0,38
HK.00237,57.0,41
HK.00239,74.0,72
HK.00240,65.0,44
HK.00241,21.0,40
HK.00242,28.0,27
