code,rs_percentile_12m,rs_percentile_3m
HK.00001,79.0,44
HK.00002,76.0,59
HK.00003,70.0,59
HK.00004,52.0,59
HK.00005,86.0,58
HK.00006,76.0,62
HK.00008,60.0,46
HK.00010,41.0,34
HK.00012,59.0,36
HK.00013,77.0,89
HK.00014,52.0,32
HK.00016,65.0,21
HK.00017,25.0,13
HK.00018,22.0,42
HK.00019,88.0,76
HK.00020,17.0,21
HK.00021,57.0,85
HK.00022,29.0,97
HK.00023,91.0,92
HK.00025,83.0,76
HK.00026,67.0,56
HK.00027,56.0,49
HK.00028,30.0,40
HK.00029,25.0,23
HK.00030,41.0,33
HK.00031,20.0,25
HK.00032,46.0,36
HK.00033,59.0,54
HK.00034,73.0,35
HK.00035,42.0,47
HK.00036,79.0,54
HK.00037,58.0,42
HK.00038,80.0,76
HK.00039,17.0,54
HK.00040,60.0,60
HK.00041,57.0,27
HK.00042,19.0,32
HK.00045,52.0,51
HK.00046,55.0,63
HK.00048,92.0,46
HK.00050,65.0,46
HK.00051,64.0,50
HK.00052,50.0,38
HK.00053,66.0,60
HK.00055,35.0,37
HK.00057,53.0,57
HK.00058,65.0,21
HK.00059,62.0,54
HK.00060,82.0,88
HK.00061,18.0,29
HK.00062,42.0,36
HK.00063,21.0,58
HK.00064,84.0,66
HK.00065,45.0,83
HK.00066,76.0,63
HK.00068,,26
HK.00069,36.0,25
HK.00070,85.0,95
HK.00071,65.0,59
HK.00072,51.0,59
HK.00073,50.0,32
HK.00075,68.0,89
HK.00076,49.0,87
HK.00077,83.0,77
HK.00078,40.0,79
HK.00079,89.0,92
HK.00081,84.0,85
HK.00082,58.0,72
HK.00083,54.0,32
HK.00084,64.0,48
HK.00085,13.0,14
HK.00086,69.0,59
HK.00087,84.0,72
HK.00088,41.0,21
HK.00089,46.0,36
HK.00090,46.0,70
HK.00092,48.0,31
HK.00093,31.0,22
HK.00094,28.0,38
HK.00095,40.0,30
HK.00096,58.0,68
HK.00097,23.0,41
HK.00098,21.0,8
HK.00099,66.0,81
HK.00100,,61
HK.00101,32.0,23
HK.00103,41.0,89
HK.00104,74.0,67
HK.00105,64.0,51
HK.00106,62.0,54
HK.00107,67.0,69
HK.00108,53.0,86
HK.00110,96.0,62
HK.00111,74.0,71
HK.00113,73.0,41
HK.00114,77.0,63
HK.00115,57.0,83
HK.00116,79.0,58
HK.00117,98.0,92
HK.00118,49.0,62
HK.00119,20.0,10
HK.00120,16.0,66
HK.00122,42.0,30
HK.00123,30.0,21
HK.00124,34.0,42
HK.00125,42.0,57
HK.00126,11.0,12
HK.00127,36.0,33
HK.00128,92.0,97
HK.00129,19.0,33
HK.00130,59.0,35
HK.00131,67.0,56
HK.00132,17.0,13
HK.00135,71.0,78
HK.00136,30.0,68
HK.00137,55.0,44
HK.00138,5.0,37
HK.00139,12.0,4
HK.00142,45.0,34
HK.00144,79.0,81
HK.00145,68.0,86
HK.00146,72.0,87
HK.00147,95.0,99
HK.00148,87.0,72
HK.00149,52.0,64
HK.00150,38.0,36
HK.00151,8.0,8
HK.00152,23.0,45
HK.00154,37.0,74
HK.00156,82.0,81
HK.00157,46.0,41
HK.00158,64.0,61
HK.00159,5.0,8
HK.00160,21.0,35
HK.00162,26.0,28
HK.00163,8.0,4
HK.00164,58.0,32
HK.00165,40.0,76
HK.00166,55.0,86
HK.00167,96.0,57
HK.00168,37.0,22
HK.00169,21.0,29
HK.00171,25.0,70
HK.00173,47.0,37
HK.00174,16.0,12
HK.00175,42.0,12
HK.00176,62.0,54
HK.00177,76.0,76
HK.00178,93.0,93
HK.00179,16.0,29
HK.00180,66.0,65
HK.00181,23.0,18
HK.00182,46.0,43
HK.00183,45.0,65
HK.00184,72.0,60
HK.00185,25.0,26
HK.00186,96.0,98
HK.00187,11.0,17
HK.00188,43.0,32
HK.00189,36.0,14
HK.00191,13.0,8
HK.00193,60.0,62
HK.00194,59.0,49
HK.00196,7.0,13
HK.00197,94.0,97
HK.00199,97.0,31
HK.00200,19.0,13
HK.00201,37.0,27
HK.00202,43.0,96
HK.00205,55.0,12
HK.00206,12.0,10
HK.00209,0.0,1
HK.00210,23.0,22
HK.00211,71.0,62
HK.00212,66.0,52
HK.00213,64.0,71
HK.00214,36.0,73
HK.00215,69.0,59
HK.00216,24.0,29
HK.00217,36.0,50
HK.00218,25.0,36
HK.00219,74.0,48
HK.00220,54.0,27
HK.00222,47.0,23
HK.00223,41.0,87
HK.00224,70.0,77
HK.00225,53.0,39
HK.00227,6.0,9
HK.00228,3.0,1
HK.00229,53.0,60
HK.00232,96.0,78
HK.00234,77.0,92
HK.00235,30.0,49
