code,rs_percentile_12m,rs_percentile_3m
HK.00001,81.0,48
HK.00002,78.0,63
HK.00003,72.0,63
HK.00004,53.0,54
HK.00005,87.0,67
HK.00006,77.0,65
HK.00008,61.0,44
HK.00010,44.0,33
HK.00012,58.0,41
HK.00013,76.0,88
HK.00014,54.0,29
HK.00016,65.0,19
HK.00017,22.0,12
HK.00018,20.0,36
HK.00019,88.0,77
HK.00020,18.0,18
HK.00021,68.0,73
HK.00022,25.0,97
HK.00023,91.0,93
HK.00025,84.0,75
HK.00026,68.0,60
HK.00027,59.0,64
HK.00028,30.0,32
HK.00029,25.0,21
HK.00030,59.0,51
HK.00031,19.0,23
HK.00032,48.0,40
HK.00033,61.0,56
HK.00034,71.0,34
HK.00035,36.0,30
HK.00036,80.0,56
HK.00037,64.0,45
HK.00038,83.0,84
HK.00039,18.0,56
HK.00040,58.0,53
HK.00041,57.0,26
HK.00042,18.0,18
HK.00045,48.0,50
HK.00046,50.0,61
HK.00048,92.0,66
HK.00050,66.0,54
HK.00051,59.0,41
HK.00052,59.0,59
HK.00053,68.0,65
HK.00055,33.0,41
HK.00057,53.0,48
HK.00058,66.0,27
HK.00059,63.0,56
HK.00060,82.0,89
HK.00061,11.0,19
HK.00062,44.0,32
HK.00063,16.0,86
HK.00064,86.0,71
HK.00065,43.0,85
HK.00066,78.0,66
HK.00068,,31
HK.00069,44.0,36
HK.00070,86.0,95
HK.00071,66.0,62
HK.00072,44.0,29
HK.00073,51.0,36
HK.00075,50.0,71
HK.00076,48.0,85
HK.00077,87.0,86
HK.00078,41.0,76
HK.00079,83.0,74
HK.00081,85.0,85
HK.00082,48.0,47
HK.00083,55.0,31
HK.00084,67.0,51
HK.00085,11.0,9
HK.00086,71.0,62
HK.00087,84.0,72
HK.00088,46.0,34
HK.00089,48.0,28
HK.00090,32.0,43
HK.00092,41.0,20
HK.00093,38.0,43
HK.00094,34.0,11
HK.00095,34.0,24
HK.00096,55.0,59
HK.00097,26.0,45
HK.00098,25.0,8
HK.00099,72.0,83
HK.00100,,72
HK.00101,36.0,25
HK.00103,40.0,85
HK.00104,72.0,62
HK.00105,67.0,53
HK.00106,63.0,56
HK.00107,62.0,67
HK.00108,49.0,90
HK.00110,96.0,89
HK.00111,77.0,79
HK.00113,74.0,42
HK.00114,77.0,53
HK.00115,32.0,31
HK.00116,79.0,66
HK.00117,98.0,92
HK.00118,57.0,78
HK.00119,17.0,6
HK.00120,8.0,16
HK.00122,47.0,41
HK.00123,25.0,15
HK.00124,34.0,47
HK.00125,45.0,53
HK.00126,14.0,18
HK.00127,38.0,36
HK.00128,63.0,56
HK.00129,23.0,34
HK.00130,70.0,54
HK.00131,70.0,59
HK.00132,18.0,15
HK.00135,72.0,78
HK.00136,34.0,70
HK.00137,67.0,62
HK.00138,6.0,38
HK.00139,10.0,7
HK.00142,46.0,39
HK.00144,79.0,82
HK.00145,72.0,87
HK.00146,58.0,77
HK.00147,95.0,99
HK.00148,87.0,65
HK.00149,59.0,74
HK.00150,49.0,54
HK.00151,10.0,11
HK.00152,26.0,47
HK.00154,40.0,78
HK.00156,83.0,82
HK.00157,47.0,47
HK.00158,67.0,69
HK.00159,5.0,4
HK.00160,22.0,36
HK.00162,28.0,33
HK.00163,14.0,10
HK.00164,56.0,34
HK.00165,34.0,74
HK.00166,58.0,89
HK.00167,96.0,60
HK.00168,39.0,21
HK.00169,19.0,26
HK.00171,12.0,71
HK.00173,55.0,50
HK.00174,17.0,13
HK.00175,44.0,18
HK.00176,63.0,56
HK.00177,73.0,73
HK.00178,93.0,94
HK.00179,18.0,37
HK.00180,56.0,54
HK.00181,25.0,14
HK.00182,53.0,67
HK.00183,48.0,65
HK.00184,71.0,52
HK.00185,26.0,70
HK.00186,94.0,97
HK.00187,14.0,24
HK.00188,45.0,42
HK.00189,34.0,16
HK.00191,15.0,7
HK.00193,51.0,47
HK.00194,57.0,48
HK.00196,9.0,37
HK.00197,91.0,96
HK.00199,97.0,30
HK.00200,19.0,15
HK.00201,41.0,34
HK.00202,17.0,92
HK.00205,66.0,27
HK.00206,11.0,12
HK.00209,0.0,0
HK.00210,18.0,21
HK.00211,70.0,54
HK.00212,67.0,53
HK.00213,65.0,70
HK.00214,37.0,75
HK.00215,70.0,62
HK.00216,24.0,28
HK.00217,32.0,34
HK.00218,22.0,34
HK.00219,74.0,46
HK.00220,52.0,27
HK.00222,60.0,38
HK.00223,46.0,90
HK.00224,66.0,69
HK.00225,55.0,40
HK.00227,7.0,7
HK.00228,4.0,2
HK.00229,52.0,63
HK.00232,96.0,80
HK.00234,65.0,88
HK.00235,19.0,20
HK.00236,51.0,41
HK.00237,57.0,41
HK.00239,73.0,69
HK.00240,65.0,44
HK.00241,20.0,39
HK.00242,28.0,27
HK.00243,82.0,36
HK.00244,72.0,85
HK.00245,39.0,30
HK.00247,62.0,56
HK.00248,43.0,75
HK.00251,39.0,23
HK.00252,69.0,64
HK.00253,66.0,42
HK.00254,1.0,88
HK.00255,60.0,64
HK.00256,78.0,94
HK.00257,68.0,50
HK.00258,39.0,38
HK.00259,11.0,6
HK.00261,73.0,84
HK.00262,58.0,50
HK.00264,16.0,9
HK.00265,33.0,10
HK.00266,73.0,82
HK.00267,80.0,80
HK.00268,36.0,54
HK.00269,60.0,56
HK.00270,85.0,83
HK.00271,35.0,25
HK.00272,27.0,45
HK.00274,63.0,56
HK.00276,46.0,61
HK.00277,21.0,35
HK.00279,24.0,74
HK.00280,86.0,77
HK.00285,33.0,64
HK.00286,63.0,56
HK.00287,71.0,67
HK.00288,30.0,8
HK.00289,70.0,59
HK.00290,12.0,24
HK.00291,26.0,15
HK.00293,85.0,70
HK.00294,85.0,84
HK.00295,37.0,34
HK.00296,33.0,36
HK.00297,43.0,48
HK.00298,40.0,49
HK.00299,63.0,56
HK.00300,82.0,75
HK.00301,98.0,94
HK.00302,14.0,46
HK.00303,47.0,43
HK.00305,18.0,12
HK.00306,73.0,63
HK.00308,52.0,59
HK.00309,9.0,15
HK.00311,84.0,75
HK.00312,12.0,4
HK.00313,37.0,70
HK.00314,30.0,82
HK.00315,69.0,63
HK.00316,81.0,55
HK.00317,75.0,93
HK.00318,89.0,60
HK.00320,43.0,40
HK.00321,54.0,19
HK.00322,76.0,39
HK.00323,32.0,66
HK.00325,78.0,86
HK.00326,94.0,15
HK.00327,44.0,72
HK.00328,5.0,87
HK.00329,2.0,2
HK.00330,13.0,50
HK.00331,54.0,51
HK.00332,4.0,25
HK.00333,28.0,32
HK.00334,31.0,19
HK.00335,61.0,66
HK.00336,56.0,87
HK.00337,5.0,4
HK.00338,40.0,49
HK.00340,85.0,90
HK.00341,72.0,71
HK.00343,36.0,71
HK.00345,61.0,73
HK.00346,12.0,23
HK.00347,23.0,62
HK.00348,15.0,39
HK.00351,61.0,32
HK.00352,63.0,56
HK.00353,83.0,88
HK.00354,59.0,84
HK.00355,62.0,68
HK.00357,18.0,36
HK.00358,66.0,30
HK.00360,67.0,96
HK.00361,72.0,88
HK.00362,63.0,56
HK.00363,65.0,54
HK.00365,48.0,4
HK.00366,47.0,59
HK.00367,29.0,33
HK.00368,99.0,93
HK.00369,54.0,26
HK.00370,3.0,24
HK.00371,13.0,2
HK.00372,22.0,7
HK.00373,36.0,25
HK.00374,61.0,63
HK.00375,41.0,24
HK.00376,28.0,89
HK.00377,98.0,98
HK.00379,95.0,98
HK.00380,57.0,76
HK.00381,3.0,18
HK.00382,5.0,46
HK.00383,42.0,45
HK.00384,30.0,36
HK.00385,26.0,70
HK.00386,72.0,72
HK.00387,60.0,22
HK.00388,62.0,46
HK.00389,80.0,94
HK.00390,43.0,44
HK.00391,97.0,98
HK.00392,61.0,60
HK.00393,66.0,53
HK.00396,90.0,3
HK.00397,56.0,83
HK.00398,68.0,66
HK.00399,11.0,56
HK.00400,88.0,86
HK.00401,55.0,12
HK.00403,84.0,86
HK.00406,22.0,25
HK.00408,87.0,76
HK.00410,9.0,11
HK.00411,72.0,75
HK.00412,4.0,85
HK.00413,36.0,68
HK.00417,30.0,53
HK.00418,52.0,76
HK.00419,82.0,38
HK.00420,69.0,32
HK.00422,42.0,47
HK.00423,45.0,38
HK.00425,27.0,16
HK.00426,88.0,90
HK.00430,47.0,63
HK.00432,51.0,25
HK.00433,7.0,2
HK.00434,57.0,91
HK.00436,73.0,89
HK.00438,11.0,16
HK.00439,10.0,15
HK.00440,86.0,76
HK.00442,45.0,80
HK.00444,63.0,56
HK.00450,39.0,23
HK.00451,9.0,5
HK.00455,78.0,77
HK.00456,52.0,27
HK.00458,80.0,81
HK.00460,11.0,7
HK.00464,27.0,24
HK.00465,98.0,64
HK.00467,46.0,79
HK.00468,63.0,56
HK.00470,,22
HK.00471,1.0,5
HK.00472,30.0,16
HK.00474,96.0,84
HK.00475,18.0,12
HK.00476,76.0,94
HK.00480,53.0,33
HK.00482,14.0,11
HK.00483,40.0,65
HK.00484,30.0,20
HK.00485,39.0,18
HK.00486,19.0,34
HK.00487,21.0,51
HK.00488,69.0,50
HK.00491,82.0,95
HK.00493,20.0,48
HK.00496,9.0,62
HK.00497,34.0,17
HK.00498,15.0,56
HK.00499,91.0,76
HK.00500,48.0,65
HK.00505,71.0,77
HK.00506,70.0,87
HK.00508,21.0,24
HK.00509,63.0,56
HK.00510,26.0,6
HK.00511,24.0,19
HK.00512,27.0,29
HK.00513,73.0,93
HK.00515,57.0,56
HK.00517,79.0,87
HK.00518,30.0,20
HK.00519,45.0,31
HK.00520,4.0,12
HK.00521,26.0,43
HK.00522,91.0,49
HK.00524,97.0,40
HK.00525,69.0,54
HK.00526,52.0,23
HK.00527,82.0,85
HK.00528,74.0,67
HK.00529,49.0,46
HK.00532,35.0,28
HK.00533,50.0,41
HK.00535,14.0,49
HK.00536,77.0,67
HK.00538,55.0,44
HK.00540,84.0,86
HK.00542,84.0,87
HK.00543,35.0,19
HK.00544,6.0,17
HK.00546,16.0,19
HK.00547,21.0,13
HK.00548,56.0,44
HK.00550,94.0,0
HK.00551,48.0,28
HK.00552,62.0,67
HK.00553,16.0,28
HK.00554,37.0,43
HK.00556,68.0,7
HK.00557,20.0,16
HK.00558,2.0,7
HK.00559,54.0,56
HK.00560,35.0,41
HK.00563,32.0,62
HK.00564,18.0,16
HK.00565,95.0,95
HK.00567,95.0,75
HK.00568,52.0,17
HK.00570,15.0,18
HK.00571,53.0,80
HK.00572,47.0,59
HK.00573,50.0,72
HK.00574,9.0,56
HK.00575,57.0,36
HK.00576,47.0,34
HK.00579,30.0,27
HK.00580,5.0,4
HK.00581,25.0,10
HK.00582,21.0,39
HK.00583,25.0,17
HK.00585,98.0,36
HK.00586,20.0,13
HK.00587,5.0,18
HK.00588,35.0,35
HK.00590,43.0,19
HK.00591,46.0,52
HK.00595,96.0,87
HK.00596,4.0,6
HK.00598,72.0,75
HK.00599,29.0,31
HK.00600,,97
HK.00601,63.0,56
HK.00602,50.0,61
HK.00603,24.0,49
HK.00604,24.0,14
HK.00605,32.0,26
HK.00606,37.0,50
HK.00607,9.0,1
HK.00608,43.0,50
HK.00609,32.0,52
HK.00610,75.0,61
HK.00611,42.0,33
HK.00613,96.0,88
HK.00616,1.0,18
HK.00617,51.0,84
HK.00618,85.0,14
HK.00619,44.0,42
HK.00620,11.0,25
HK.00621,42.0,32
HK.00622,97.0,92
HK.00623,73.0,71
HK.00626,92.0,97
HK.00627,38.0,20
HK.00628,75.0,8
HK.00629,53.0,63
HK.00630,26.0,94
HK.00631,76.0,86
HK.00632,10.0,21
HK.00635,74.0,84
HK.00636,52.0,53
HK.00637,59.0,64
HK.00639,76.0,83
HK.00640,57.0,38
HK.00641,75.0,49
HK.00643,13.0,6
HK.00645,86.0,73
HK.00646,94.0,98
HK.00648,0.0,1
HK.00650,24.0,8
HK.00653,91.0,96
HK.00655,84.0,43
HK.00656,81.0,83
HK.00657,87.0,96
HK.00658,12.0,16
HK.00659,69.0,51
HK.00660,92.0,66
HK.00661,89.0,88
HK.00662,66.0,45
HK.00664,,11
HK.00666,12.0,13
HK.00667,27.0,44
HK.00669,83.0,44
HK.00670,17.0,14
HK.00672,13.0,17
HK.00673,4.0,13
HK.00674,25.0,81
HK.00675,51.0,37
HK.00676,68.0,63
HK.00677,77.0,80
HK.00679,97.0,7
HK.00681,42.0,49
HK.00682,39.0,48
HK.00683,49.0,33
HK.00684,25.0,43
HK.00685,49.0,63
HK.00686,7.0,3
HK.00687,84.0,88
HK.00688,55.0,25
HK.00689,32.0,35
HK.00690,16.0,74
HK.00691,7.0,41
HK.00693,61.0,67
HK.00694,20.0,18
HK.00695,78.0,33
HK.00696,53.0,73
HK.00697,18.0,10
HK.00698,31.0,87
HK.00700,32.0,34
HK.00701,8.0,33
HK.00702,63.0,56
HK.00703,38.0,76
HK.00704,89.0,56
HK.00707,63.0,56
HK.00708,63.0,56
HK.00709,56.0,52
HK.00710,45.0,70
HK.00711,75.0,65
HK.00712,25.0,84
HK.00713,33.0,37
HK.00716,17.0,20
HK.00717,20.0,22
HK.00718,46.0,66
HK.00719,45.0,32
HK.00720,74.0,16
HK.00722,40.0,20
HK.00723,82.0,87
HK.00725,83.0,75
HK.00726,65.0,81
HK.00727,16.0,41
HK.00728,50.0,53
HK.00730,59.0,61
HK.00731,84.0,10
HK.00732,31.0,24
HK.00733,17.0,10
HK.00736,3.0,74
HK.00737,77.0,78
HK.00738,84.0,78
HK.00743,66.0,56
HK.00745,98.0,11
HK.00746,49.0,44
HK.00747,55.0,79
HK.00750,18.0,12
HK.00751,35.0,15
HK.00752,41.0,29
HK.00753,19.0,23
HK.00754,45.0,56
HK.00755,34.0,18
HK.00756,92.0,98
HK.00757,20.0,33
HK.00759,39.0,29
HK.00760,14.0,26
HK.00762,22.0,32
HK.00763,34.0,29
HK.00764,3.0,8
HK.00765,21.0,83
HK.00767,49.0,72
HK.00769,63.0,56
HK.00771,54.0,44
HK.00772,19.0,51
HK.00775,21.0,27
HK.00776,1.0,6
HK.00777,60.0,79
HK.00780,11.0,9
HK.00784,98.0,42
HK.00788,43.0,49
HK.00789,7.0,11
HK.00794,91.0,91
HK.00797,91.0,87
HK.00798,22.0,26
HK.00799,65.0,39
HK.00800,,24
HK.00804,98.0,98
HK.00805,98.0,96
HK.00806,41.0,42
HK.00807,43.0,39
HK.00809,6.0,21
HK.00811,36.0,17
HK.00813,1.0,1
HK.00814,61.0,73
HK.00815,6.0,12
HK.00816,48.0,40
HK.00817,47.0,18
HK.00818,22.0,29
HK.00819,12.0,9
HK.00821,70.0,82
HK.00822,40.0,20
HK.00825,41.0,50
HK.00826,55.0,69
HK.00827,85.0,58
HK.00828,15.0,16
HK.00829,82.0,97
HK.00830,33.0,64
HK.00831,85.0,77
HK.00832,12.0,49
HK.00833,28.0,4
HK.00834,35.0,19
HK.00836,72.0,71
HK.00837,38.0,33
HK.00838,34.0,29
HK.00839,34.0,68
HK.00840,36.0,54
HK.00841,45.0,87
HK.00842,27.0,22
HK.00844,46.0,67
HK.00845,63.0,56
HK.00846,32.0,65
HK.00848,34.0,35
HK.00851,56.0,90
HK.00852,91.0,96
HK.00853,16.0,24
HK.00854,35.0,32
HK.00855,38.0,28
HK.00856,72.0,45
HK.00857,78.0,52
HK.00858,69.0,77
HK.00859,81.0,84
HK.00860,69.0,95
HK.00861,71.0,93
HK.00862,93.0,23
HK.00863,20.0,14
HK.00864,37.0,6
HK.00865,83.0,48
HK.00866,39.0,79
HK.00867,52.0,44
HK.00868,55.0,30
HK.00869,57.0,72
HK.00871,11.0,9
HK.00873,7.0,4
HK.00874,31.0,19
HK.00875,3.0,1
