code,rs_percentile_12m,rs_percentile_3m
HK.00001,79.0,43
HK.00002,75.0,59
HK.00003,70.0,59
HK.00004,55.0,67
HK.00005,86.0,57
HK.00006,74.0,61
HK.00008,56.0,40
HK.00010,42.0,34
HK.00012,58.0,33
HK.00013,77.0,91
HK.00014,50.0,29
HK.00016,63.0,19
HK.00017,26.0,14
HK.00018,23.0,50
HK.00019,88.0,76
HK.00020,16.0,16
HK.00021,70.0,87
HK.00022,24.0,97
HK.00023,90.0,91
HK.00025,81.0,73
HK.00026,67.0,52
HK.00027,57.0,46
HK.00028,31.0,38
HK.00029,27.0,31
HK.00030,43.0,33
HK.00031,22.0,29
HK.00032,46.0,36
HK.00033,61.0,55
HK.00034,73.0,38
HK.00035,42.0,49
HK.00036,80.0,55
HK.00037,58.0,37
HK.00038,80.0,77
HK.00039,17.0,55
HK.00040,56.0,51
HK.00041,56.0,26
HK.00042,19.0,26
HK.00045,52.0,46
HK.00046,46.0,48
HK.00048,92.0,46
HK.00050,61.0,44
HK.00051,67.0,61
HK.00052,45.0,24
HK.00053,66.0,62
HK.00055,25.0,19
HK.00057,58.0,59
HK.00058,51.0,11
HK.00059,62.0,55
HK.00060,80.0,88
HK.00061,20.0,24
HK.00062,41.0,32
HK.00063,26.0,76
HK.00064,82.0,65
HK.00065,85.0,96
HK.00066,75.0,60
HK.00068,,15
HK.00069,34.0,21
HK.00070,84.0,95
HK.00071,66.0,58
HK.00072,68.0,74
HK.00073,55.0,40
HK.00075,68.0,89
HK.00076,52.0,74
HK.00077,85.0,84
HK.00078,38.0,72
HK.00079,86.0,77
HK.00081,85.0,85
HK.00082,56.0,72
HK.00083,57.0,36
HK.00084,59.0,49
HK.00085,12.0,15
HK.00086,68.0,58
HK.00087,83.0,71
HK.00088,41.0,24
HK.00089,53.0,64
HK.00090,59.0,79
HK.00092,52.0,40
HK.00093,32.0,34
HK.00094,11.0,9
HK.00095,35.0,32
HK.00096,58.0,69
HK.00097,21.0,41
HK.00098,22.0,9
HK.00099,54.0,69
HK.00100,,32
HK.00101,33.0,22
HK.00103,41.0,89
HK.00104,74.0,69
HK.00105,64.0,52
HK.00106,62.0,55
HK.00107,69.0,72
HK.00108,54.0,89
HK.00110,96.0,59
HK.00111,79.0,83
HK.00113,74.0,44
HK.00114,80.0,77
HK.00115,78.0,94
HK.00116,80.0,58
HK.00117,98.0,88
HK.00118,49.0,67
HK.00119,21.0,10
HK.00120,12.0,48
HK.00122,41.0,31
HK.00123,32.0,23
HK.00124,37.0,49
HK.00125,42.0,58
HK.00126,7.0,8
HK.00127,37.0,34
HK.00128,92.0,97
HK.00129,25.0,47
HK.00130,65.0,38
HK.00131,64.0,50
HK.00132,15.0,10
HK.00135,72.0,80
HK.00136,45.0,82
HK.00137,55.0,44
HK.00138,5.0,34
HK.00139,13.0,5
HK.00142,46.0,38
HK.00144,80.0,83
HK.00145,57.0,79
HK.00146,71.0,87
HK.00147,95.0,99
HK.00148,88.0,67
HK.00149,44.0,40
HK.00150,45.0,50
HK.00151,8.0,9
HK.00152,22.0,40
HK.00154,36.0,75
HK.00156,83.0,84
HK.00157,40.0,35
HK.00158,61.0,63
HK.00159,6.0,22
HK.00160,20.0,32
HK.00162,24.0,29
HK.00163,6.0,3
HK.00164,56.0,31
HK.00165,46.0,82
HK.00166,58.0,82
HK.00167,94.0,51
HK.00168,38.0,23
HK.00169,21.0,21
HK.00171,20.0,68
HK.00173,49.0,35
HK.00174,19.0,13
HK.00175,43.0,12
HK.00176,62.0,55
HK.00177,76.0,77
HK.00178,93.0,93
HK.00179,15.0,27
HK.00180,69.0,68
HK.00181,20.0,21
HK.00182,47.0,44
HK.00183,52.0,68
HK.00184,70.0,63
HK.00185,25.0,27
HK.00186,96.0,98
HK.00187,11.0,15
HK.00188,53.0,53
HK.00189,36.0,12
HK.00191,16.0,5
HK.00193,60.0,64
HK.00194,57.0,43
HK.00196,6.0,7
HK.00197,93.0,97
HK.00199,98.0,61
HK.00200,20.0,14
HK.00201,37.0,28
HK.00202,31.0,95
HK.00205,55.0,13
HK.00206,12.0,9
HK.00209,0.0,1
HK.00210,21.0,15
HK.00211,66.0,51
HK.00212,66.0,60
HK.00213,68.0,73
HK.00214,33.0,74
HK.00215,69.0,61
HK.00216,24.0,30
HK.00217,33.0,47
HK.00218,24.0,41
HK.00219,74.0,47
HK.00220,54.0,30
HK.00222,35.0,19
HK.00223,41.0,88
HK.00224,70.0,77
HK.00225,52.0,39
HK.00227,6.0,5
HK.00228,3.0,2
HK.00229,54.0,64
HK.00232,96.0,78
HK.00234,73.0,90
HK.00235,31.0,55
HK.00236,45.0,41
HK.00237,55.0,28
HK.00239,72.0,66
HK.00240,67.0,46
HK.00241,14.0,21
HK.00242,39.0,76
HK.00243,78.0,24
HK.00244,59.0,79
HK.00245,40.0,31
HK.00247,60.0,55
HK.00248,48.0,79
HK.00251,39.0,22
HK.00252,67.0,62
HK.00253,65.0,46
HK.00254,45.0,92
HK.00255,56.0,45
HK.00256,76.0,95
HK.00257,59.0,36
HK.00258,55.0,71
HK.00259,11.0,8
HK.00261,75.0,88
HK.00262,57.0,60
HK.00264,19.0,6
HK.00265,32.0,13
HK.00266,73.0,82
HK.00267,79.0,76
HK.00268,36.0,57
HK.00269,62.0,55
HK.00270,84.0,80
HK.00271,37.0,37
HK.00272,36.0,81
HK.00274,62.0,55
HK.00276,41.0,39
HK.00277,19.0,34
HK.00279,28.0,77
HK.00280,84.0,67
HK.00285,30.0,58
HK.00286,62.0,55
HK.00287,69.0,66
HK.00288,24.0,7
HK.00289,68.0,53
HK.00290,19.0,63
HK.00291,26.0,17
HK.00293,84.0,68
HK.00294,84.0,83
HK.00295,36.0,35
HK.00296,27.0,26
HK.00297,41.0,31
HK.00298,36.0,36
HK.00299,62.0,55
HK.00300,81.0,68
HK.00301,98.0,91
HK.00302,15.0,39
HK.00303,53.0,68
HK.00305,16.0,9
HK.00306,65.0,36
HK.00308,64.0,67
HK.00309,12.0,14
HK.00311,88.0,87
HK.00312,13.0,18
HK.00313,51.0,74
HK.00314,31.0,75
HK.00315,70.0,66
HK.00316,79.0,44
HK.00317,75.0,91
HK.00318,89.0,55
HK.00320,43.0,44
HK.00321,52.0,17
HK.00322,74.0,42
HK.00323,30.0,49
HK.00325,76.0,85
HK.00326,93.0,73
HK.00327,50.0,49
HK.00328,4.0,88
HK.00329,2.0,2
HK.00330,9.0,33
HK.00331,52.0,47
HK.00332,6.0,78
HK.00333,26.0,27
HK.00334,29.0,12
HK.00335,64.0,69
HK.00336,69.0,90
HK.00337,7.0,10
HK.00338,45.0,46
HK.00340,83.0,82
HK.00341,70.0,62
HK.00343,36.0,89
HK.00345,54.0,63
HK.00346,25.0,76
HK.00347,25.0,49
HK.00348,20.0,73
HK.00351,66.0,31
HK.00352,62.0,55
HK.00353,86.0,83
HK.00354,60.0,76
HK.00355,50.0,52
HK.00357,14.0,21
HK.00358,72.0,43
HK.00360,66.0,96
HK.00361,66.0,87
HK.00362,62.0,55
HK.00363,64.0,53
HK.00365,38.0,4
HK.00366,48.0,63
HK.00367,23.0,27
HK.00368,98.0,76
HK.00369,54.0,28
HK.00370,2.0,15
HK.00371,11.0,3
HK.00372,21.0,16
HK.00373,34.0,22
HK.00374,60.0,62
HK.00375,75.0,83
HK.00376,33.0,86
HK.00377,71.0,1
HK.00379,95.0,98
HK.00380,44.0,47
HK.00381,2.0,11
HK.00382,5.0,47
HK.00383,53.0,70
HK.00384,29.0,37
HK.00385,23.0,60
HK.00386,73.0,66
HK.00387,56.0,18
HK.00388,67.0,58
HK.00389,77.0,90
HK.00390,42.0,32
HK.00391,97.0,98
HK.00392,63.0,58
HK.00393,65.0,52
HK.00396,90.0,3
HK.00397,40.0,47
HK.00398,66.0,64
HK.00399,9.0,55
HK.00400,89.0,87
HK.00401,49.0,6
HK.00403,78.0,79
HK.00406,21.0,20
HK.00408,88.0,79
HK.00410,11.0,17
HK.00411,71.0,74
HK.00412,6.0,86
HK.00413,24.0,47
HK.00417,36.0,69
HK.00418,66.0,82
HK.00419,79.0,27
HK.00420,69.0,37
HK.00422,43.0,45
HK.00423,43.0,42
HK.00425,24.0,10
HK.00426,89.0,91
HK.00430,46.0,62
HK.00432,51.0,28
HK.00433,4.0,2
HK.00434,82.0,94
HK.00436,67.0,82
HK.00438,14.0,30
HK.00439,14.0,18
HK.00440,85.0,65
HK.00442,49.0,77
HK.00444,62.0,55
HK.00450,35.0,23
HK.00451,5.0,7
HK.00455,83.0,88
HK.00456,69.0,21
HK.00458,69.0,76
HK.00460,11.0,11
HK.00464,35.0,42
HK.00465,98.0,58
HK.00467,50.0,80
HK.00468,62.0,55
HK.00470,,19
HK.00471,2.0,53
HK.00472,32.0,22
HK.00474,94.0,78
HK.00475,8.0,4
HK.00476,74.0,94
HK.00480,56.0,43
HK.00482,10.0,7
HK.00483,24.0,29
HK.00484,31.0,15
HK.00485,30.0,9
HK.00486,22.0,35
HK.00487,19.0,38
HK.00488,66.0,42
HK.00491,49.0,87
HK.00493,20.0,46
HK.00496,6.0,31
HK.00497,27.0,16
HK.00498,15.0,55
HK.00499,90.0,78
HK.00500,61.0,61
HK.00505,74.0,84
HK.00506,60.0,76
HK.00508,17.0,25
HK.00509,62.0,55
HK.00510,20.0,5
HK.00511,24.0,17
HK.00512,28.0,39
HK.00513,85.0,95
HK.00515,53.0,55
HK.00517,82.0,88
HK.00518,22.0,15
HK.00519,26.0,28
HK.00520,4.0,10
HK.00521,20.0,44
HK.00522,92.0,61
HK.00524,98.0,27
HK.00525,73.0,68
HK.00526,34.0,8
HK.00527,80.0,85
HK.00528,72.0,59
HK.00529,43.0,37
HK.00532,43.0,29
HK.00533,47.0,37
HK.00535,11.0,44
HK.00536,76.0,62
HK.00538,59.0,52
HK.00540,64.0,59
HK.00542,82.0,83
HK.00543,34.0,20
HK.00544,5.0,59
HK.00546,13.0,19
HK.00547,16.0,13
HK.00548,59.0,52
HK.00550,95.0,1
HK.00551,53.0,38
HK.00552,66.0,69
HK.00553,19.0,22
HK.00554,42.0,46
HK.00556,43.0,6
HK.00557,19.0,16
HK.00558,3.0,8
HK.00559,57.0,55
HK.00560,35.0,46
HK.00563,37.0,64
HK.00564,17.0,11
HK.00565,94.0,95
HK.00567,94.0,70
HK.00568,51.0,19
HK.00570,18.0,22
HK.00571,39.0,33
HK.00572,45.0,40
HK.00573,51.0,73
HK.00574,6.0,49
HK.00575,47.0,19
HK.00576,44.0,25
HK.00579,28.0,25
HK.00580,4.0,4
HK.00581,35.0,24
HK.00582,32.0,68
HK.00583,28.0,21
HK.00585,97.0,8
HK.00586,21.0,14
HK.00587,7.0,36
HK.00588,40.0,42
HK.00590,54.0,29
HK.00591,45.0,40
HK.00595,96.0,75
HK.00596,4.0,5
HK.00598,69.0,69
HK.00599,36.0,52
HK.00600,,97
HK.00601,45.0,23
HK.00602,44.0,39
HK.00603,28.0,48
HK.00604,32.0,25
HK.00605,34.0,25
HK.00606,47.0,58
HK.00607,11.0,2
HK.00608,28.0,19
HK.00609,37.0,51
HK.00610,73.0,63
