code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,81.0,43,0,0,0.85
HK.00002,80.0,67,0,0,0.2
HK.00003,73.0,78,0,0,0.15
HK.00004,43.0,38,1,12,0.75
HK.00005,88.0,73,0,0,0.4
HK.00006,81.0,76,0,0,0.15
HK.00008,62.0,52,0,0,0.75
HK.00010,42.0,34,1,40,1.0
HK.00012,57.0,52,1,1,0.55
HK.00013,68.0,81,0,0,0.05
HK.00014,56.0,29,1,30,1.0
HK.00016,62.0,28,1,3,0.6
HK.00017,28.0,13,1,10,0.65
HK.00018,25.0,28,0,0,0.5
HK.00019,90.0,84,0,0,0.0
HK.00020,19.0,32,1,10,0.65
HK.00021,22.0,9,1,9,0.7
HK.00022,2.0,47,0,0,0.8
HK.00023,90.0,93,0,0,0.0
HK.00025,84.0,76,0,0,0.55
HK.00026,69.0,65,0,0,0.4
HK.00027,56.0,65,0,0,0.15
HK.00028,29.0,38,0,0,0.85
HK.00029,30.0,32,0,0,0.8
HK.00030,54.0,36,1,2,0.6
HK.00031,21.0,15,1,4,0.85
HK.00032,48.0,37,1,1,0.45
HK.00033,63.0,58,0,0,0.6
HK.00034,70.0,22,1,11,0.95
HK.00035,54.0,62,0,0,0.8
HK.00036,77.0,58,0,0,0.6
HK.00037,67.0,46,0,0,0.4
HK.00038,85.0,90,0,0,0.2
HK.00039,19.0,58,0,0,0.6
HK.00040,58.0,51,0,0,0.55
HK.00041,61.0,39,1,1,0.65
HK.00042,17.0,31,0,0,0.7
HK.00045,52.0,53,0,0,0.5
HK.00046,57.0,74,0,0,0.15
HK.00048,93.0,70,0,0,0.25
HK.00050,70.0,68,0,0,0.25
HK.00051,53.0,31,1,6,0.75
HK.00052,72.0,66,1,1,0.45
HK.00053,66.0,63,0,0,0.25
HK.00055,35.0,34,1,2,0.6
HK.00057,55.0,53,0,0,0.65
HK.00058,76.0,53,1,12,0.65
HK.00059,65.0,58,0,0,0.6
HK.00060,82.0,82,0,0,0.0
HK.00061,9.0,16,0,0,0.95
HK.00062,43.0,30,1,19,0.95
HK.00063,14.0,69,0,0,0.35
HK.00064,84.0,76,0,0,0.1
HK.00065,47.0,89,1,1,0.2
HK.00066,76.0,72,0,0,0.3
HK.00068,,26,1,1,0.6
HK.00069,52.0,52,0,0,0.6
HK.00070,85.0,96,0,0,0.2
HK.00071,62.0,56,0,0,0.3
HK.00072,35.0,19,1,13,0.75
HK.00073,63.0,73,0,0,0.7
HK.00075,36.0,11,1,16,0.8
HK.00076,43.0,85,0,0,0.2
HK.00077,85.0,80,0,0,0.15
HK.00078,38.0,72,0,0,0.25
HK.00079,82.0,74,1,5,0.45
HK.00081,78.0,83,0,0,0.0
HK.00082,36.0,26,1,45,1.0
HK.00083,56.0,41,1,1,0.5
HK.00084,74.0,69,0,0,0.3
HK.00085,12.0,11,1,52,1.0
HK.00086,70.0,67,0,0,0.25
HK.00087,85.0,77,0,0,0.0
HK.00088,51.0,41,1,6,0.85
HK.00089,47.0,29,0,0,0.9
HK.00090,43.0,45,0,0,0.65
HK.00092,60.0,83,0,0,0.2
HK.00093,40.0,80,0,0,0.8
HK.00094,38.0,25,1,31,1.0
HK.00095,44.0,72,0,0,0.45
HK.00096,50.0,62,0,0,0.35
HK.00097,24.0,36,0,0,0.75
HK.00098,26.0,10,1,16,0.85
HK.00099,59.0,43,0,0,0.5
HK.00100,,8,1,3,0.35
HK.00101,39.0,34,1,13,0.9
HK.00103,46.0,88,0,0,0.05
HK.00104,76.0,72,0,0,0.05
HK.00105,66.0,51,0,0,0.75
HK.00106,65.0,58,0,0,0.6
HK.00107,59.0,68,0,0,0.3
HK.00108,47.0,80,0,0,0.3
HK.00110,96.0,79,1,8,0.4
HK.00111,80.0,87,0,0,0.25
HK.00113,75.0,40,1,3,0.9
HK.00114,72.0,48,1,1,0.6
HK.00115,11.0,2,1,64,1.0
HK.00116,80.0,89,1,2,0.1
HK.00117,98.0,61,0,0,0.8
HK.00118,49.0,49,0,0,0.4
HK.00119,13.0,6,1,22,1.0
HK.00120,12.0,31,0,0,0.45
HK.00122,42.0,31,1,13,0.8
HK.00123,17.0,10,1,10,0.75
HK.00124,34.0,44,0,0,0.5
HK.00125,42.0,46,0,0,0.65
HK.00126,17.0,15,1,5,0.8
HK.00127,40.0,44,0,0,0.8
HK.00128,65.0,58,0,0,0.6
HK.00129,25.0,36,0,0,0.65
HK.00130,69.0,47,0,0,0.65
HK.00131,66.0,53,0,0,0.4
HK.00132,25.0,28,0,0,0.8
HK.00135,69.0,77,0,0,0.25
HK.00136,31.0,70,0,0,0.65
HK.00137,68.0,66,0,0,0.6
HK.00138,5.0,12,0,0,0.75
HK.00139,8.0,40,1,8,0.6
HK.00142,47.0,51,0,0,0.75
HK.00144,79.0,88,0,0,0.0
HK.00145,86.0,93,0,0,0.3
HK.00146,63.0,79,0,0,0.65
HK.00147,93.0,99,0,0,0.0
HK.00148,88.0,38,0,0,0.4
HK.00149,55.0,53,0,0,0.65
HK.00150,55.0,62,1,1,0.6
HK.00151,11.0,14,1,53,1.0
HK.00152,18.0,30,1,1,0.8
HK.00154,40.0,78,0,0,0.35
HK.00156,75.0,55,0,0,0.45
HK.00157,49.0,45,0,0,0.6
HK.00158,67.0,69,0,0,0.2
HK.00159,6.0,3,1,3,0.95
HK.00160,13.0,20,1,7,0.75
HK.00162,29.0,54,1,2,0.15
HK.00163,14.0,12,1,56,1.0
HK.00164,76.0,53,0,0,0.5
HK.00165,48.0,78,0,0,0.35
HK.00166,53.0,84,0,0,0.35
HK.00167,95.0,24,0,0,0.8
HK.00168,35.0,22,1,31,1.0
HK.00169,22.0,20,1,8,0.85
HK.00171,21.0,88,0,0,0.25
HK.00173,55.0,56,0,0,0.45
HK.00174,24.0,13,1,42,1.0
HK.00175,50.0,21,1,13,0.95
HK.00176,65.0,58,0,0,0.6
HK.00177,71.0,70,0,0,0.45
HK.00178,92.0,91,0,0,0.2
HK.00179,21.0,24,1,2,0.7
HK.00180,66.0,60,0,0,0.6
HK.00181,31.0,16,0,0,0.95
HK.00182,50.0,56,0,0,0.55
HK.00183,47.0,63,0,0,0.55
HK.00184,73.0,63,0,0,0.25
HK.00185,14.0,20,1,2,0.35
HK.00186,95.0,97,0,0,0.0
HK.00187,16.0,25,1,19,0.95
HK.00188,49.0,38,1,1,0.75
HK.00189,53.0,24,1,3,0.55
HK.00191,30.0,20,1,55,1.0
HK.00193,58.0,44,0,0,0.55
HK.00194,59.0,61,0,0,0.6
HK.00196,7.0,8,0,0,0.95
HK.00197,93.0,97,0,0,0.0
HK.00199,97.0,48,1,10,0.55
HK.00200,16.0,24,1,3,0.95
HK.00201,40.0,24,1,6,0.9
HK.00202,14.0,94,0,0,0.4
HK.00205,70.0,36,0,0,0.7
HK.00206,7.0,8,1,7,0.75
HK.00209,0.0,0,1,16,0.8
HK.00210,37.0,50,0,0,0.75
HK.00211,61.0,52,0,0,0.25
HK.00212,68.0,61,0,0,0.5
HK.00213,67.0,76,0,0,0.3
HK.00214,40.0,87,0,0,0.0
HK.00215,72.0,68,0,0,0.3
HK.00216,23.0,23,1,20,1.0
HK.00217,38.0,37,0,0,0.75
HK.00218,31.0,61,1,1,0.7
HK.00219,78.0,49,0,0,0.8
HK.00220,59.0,48,0,0,0.6
HK.00222,67.0,41,1,20,1.0
HK.00223,31.0,71,0,0,0.85
HK.00224,71.0,85,0,0,0.0
HK.00225,56.0,43,1,7,0.8
HK.00227,12.0,16,1,7,0.9
HK.00228,4.0,1,1,56,1.0
HK.00229,56.0,67,0,0,0.8
HK.00232,96.0,81,0,0,0.0
HK.00234,42.0,68,0,0,0.65
HK.00235,23.0,28,1,1,0.75
HK.00236,49.0,50,0,0,0.3
HK.00237,63.0,44,1,8,0.65
HK.00239,74.0,70,0,0,0.1
HK.00240,59.0,44,1,1,0.65
HK.00241,18.0,32,1,21,1.0
HK.00242,30.0,46,0,0,0.55
HK.00243,76.0,50,1,1,0.35
HK.00244,70.0,83,0,0,0.2
HK.00245,57.0,64,0,0,0.35
HK.00247,62.0,58,0,0,0.6
HK.00248,30.0,30,0,0,0.95
HK.00251,55.0,49,0,0,0.8
HK.00252,70.0,69,0,0,0.1
HK.00253,63.0,46,0,0,0.9
HK.00254,2.0,93,0,0,0.3
HK.00255,68.0,62,0,0,0.25
HK.00256,50.0,94,0,0,0.0
HK.00257,74.0,69,0,0,0.45
HK.00258,53.0,69,0,0,0.4
HK.00259,17.0,8,1,52,1.0
HK.00261,80.0,88,0,0,0.25
HK.00262,63.0,64,0,0,0.25
HK.00264,32.0,38,0,0,0.8
HK.00265,32.0,12,1,47,1.0
HK.00266,61.0,63,0,0,0.4
HK.00267,82.0,88,0,0,0.0
HK.00268,31.0,71,1,4,0.4
HK.00269,65.0,58,0,0,0.6
HK.00270,82.0,81,0,0,0.25
HK.00271,34.0,24,1,16,0.9
HK.00272,41.0,78,0,0,0.45
HK.00274,65.0,58,0,0,0.6
HK.00276,36.0,54,0,0,0.65
HK.00277,22.0,18,0,0,0.95
HK.00279,14.0,48,0,0,0.7
HK.00280,85.0,72,0,0,0.35
HK.00285,29.0,61,1,2,0.45
HK.00286,65.0,58,0,0,0.6
HK.00287,70.0,56,0,0,0.6
HK.00288,28.0,10,1,14,0.95
HK.00289,67.0,50,0,0,0.8
HK.00290,10.0,6,1,1,0.75
HK.00291,23.0,11,1,31,1.0
HK.00293,85.0,70,1,1,0.35
HK.00294,83.0,85,0,0,0.1
HK.00295,58.0,82,0,0,0.4
HK.00296,34.0,33,0,0,0.85
HK.00297,45.0,60,0,0,0.2
HK.00298,34.0,40,0,0,0.75
HK.00299,65.0,58,0,0,0.6
HK.00300,81.0,76,0,0,0.1
HK.00301,98.0,97,0,0,0.05
HK.00302,13.0,45,1,2,0.7
HK.00303,51.0,52,0,0,0.8
HK.00305,23.0,16,1,8,0.85
HK.00306,80.0,74,0,0,0.3
HK.00308,58.0,63,0,0,0.6
HK.00309,13.0,23,1,13,0.9
HK.00311,85.0,87,0,0,0.05
HK.00312,11.0,7,1,14,0.7
HK.00313,41.0,82,0,0,0.15
HK.00314,38.0,86,0,0,0.0
HK.00315,68.0,63,0,0,0.45
HK.00316,81.0,79,0,0,0.5
HK.00317,69.0,92,0,0,0.15
HK.00318,91.0,68,0,0,0.6
HK.00320,42.0,44,0,0,0.85
HK.00321,57.0,25,1,6,0.95
HK.00322,78.0,63,1,6,0.45
HK.00323,29.0,67,0,0,0.3
HK.00325,74.0,89,1,2,0.1
HK.00326,94.0,11,1,17,0.85
HK.00327,51.0,78,0,0,0.1
HK.00328,7.0,87,0,0,0.5
HK.00329,2.0,2,1,20,1.0
HK.00330,13.0,61,0,0,0.25
