code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,82.0,57,0,0,0.9
HK.00002,79.0,68,0,0,0.2
HK.00003,74.0,80,0,0,0.25
HK.00004,44.0,45,1,10,0.65
HK.00005,89.0,77,0,0,0.4
HK.00006,79.0,77,0,0,0.15
HK.00008,62.0,52,0,0,0.85
HK.00010,45.0,38,1,38,1.0
HK.00012,57.0,60,1,8,0.6
HK.00013,74.0,88,0,0,0.05
HK.00014,59.0,30,1,28,1.0
HK.00016,74.0,61,1,1,0.6
HK.00017,34.0,21,1,8,0.55
HK.00018,20.0,27,1,1,0.45
HK.00019,90.0,86,0,0,0.0
HK.00020,19.0,35,1,8,0.65
HK.00021,30.0,13,1,7,0.6
HK.00022,2.0,29,0,0,0.9
HK.00023,89.0,92,0,0,0.0
HK.00025,84.0,71,0,0,0.65
HK.00026,68.0,60,0,0,0.5
HK.00027,58.0,74,1,1,0.1
HK.00028,27.0,20,1,15,0.9
HK.00029,31.0,34,0,0,0.9
HK.00030,60.0,45,1,1,0.6
HK.00031,20.0,14,1,2,0.85
HK.00032,54.0,46,0,0,0.5
HK.00033,53.0,54,0,0,0.7
HK.00034,68.0,20,1,9,0.9
HK.00035,49.0,49,0,0,0.85
HK.00036,76.0,54,0,0,0.7
HK.00037,62.0,57,1,2,0.4
HK.00038,85.0,92,0,0,0.3
HK.00039,19.0,54,0,0,0.7
HK.00040,59.0,47,0,0,0.6
HK.00041,65.0,42,1,10,0.7
HK.00042,12.0,12,1,3,0.8
HK.00045,51.0,51,1,1,0.6
HK.00046,56.0,72,0,0,0.2
HK.00048,92.0,70,0,0,0.35
HK.00050,71.0,70,0,0,0.3
HK.00051,57.0,41,1,3,0.6
HK.00052,75.0,75,0,0,0.4
HK.00053,66.0,64,0,0,0.25
HK.00055,57.0,82,0,0,0.5
HK.00057,50.0,47,0,0,0.65
HK.00058,77.0,24,1,11,0.65
HK.00059,64.0,54,0,0,0.7
HK.00060,84.0,85,0,0,0.0
HK.00061,7.0,9,1,32,1.0
HK.00062,46.0,33,1,17,0.9
HK.00063,12.0,64,0,0,0.4
HK.00064,84.0,75,0,0,0.1
HK.00065,47.0,89,0,0,0.15
HK.00066,76.0,71,0,0,0.35
HK.00068,,81,0,0,0.55
HK.00069,49.0,42,1,1,0.65
HK.00070,84.0,95,0,0,0.2
HK.00071,66.0,58,0,0,0.35
HK.00072,31.0,12,1,11,0.65
HK.00073,59.0,67,0,0,0.8
HK.00075,35.0,19,1,15,0.75
HK.00076,53.0,91,0,0,0.25
HK.00077,85.0,76,0,0,0.15
HK.00078,38.0,76,0,0,0.25
HK.00079,76.0,33,1,2,0.3
HK.00081,81.0,89,0,0,0.0
HK.00082,40.0,31,1,43,1.0
HK.00083,61.0,51,0,0,0.55
HK.00084,70.0,64,0,0,0.35
HK.00085,12.0,11,1,50,1.0
HK.00086,71.0,62,0,0,0.35
HK.00087,87.0,82,0,0,0.0
HK.00088,53.0,40,1,4,0.85
HK.00089,45.0,29,1,3,0.85
HK.00090,42.0,43,0,0,0.75
HK.00092,58.0,83,0,0,0.3
HK.00093,21.0,27,0,0,0.85
HK.00094,38.0,23,1,30,1.0
HK.00095,35.0,66,1,1,0.5
HK.00096,47.0,58,0,0,0.35
HK.00097,20.0,20,1,6,0.8
HK.00098,28.0,10,1,15,0.85
HK.00099,58.0,56,0,0,0.6
HK.00100,,74,1,1,0.25
HK.00101,42.0,39,1,11,0.9
HK.00103,43.0,88,0,0,0.05
HK.00104,75.0,68,0,0,0.05
HK.00105,65.0,47,0,0,0.8
HK.00106,64.0,54,0,0,0.7
HK.00107,60.0,72,0,0,0.4
HK.00108,71.0,93,0,0,0.3
HK.00110,96.0,93,1,6,0.3
HK.00111,77.0,88,0,0,0.35
HK.00113,74.0,37,1,1,0.8
HK.00114,71.0,45,1,2,0.6
HK.00115,28.0,3,1,61,1.0
HK.00116,84.0,91,0,0,0.0
HK.00117,97.0,8,1,16,0.8
HK.00118,48.0,47,0,0,0.45
HK.00119,15.0,8,1,20,1.0
HK.00120,10.0,42,0,0,0.5
HK.00122,48.0,39,1,11,0.7
HK.00123,19.0,17,1,8,0.65
HK.00124,27.0,32,1,4,0.6
HK.00125,42.0,41,1,4,0.6
HK.00126,16.0,12,1,4,0.8
HK.00127,40.0,42,1,1,0.85
HK.00128,92.0,97,0,0,0.65
HK.00129,24.0,34,0,0,0.75
HK.00130,71.0,40,0,0,0.65
HK.00131,68.0,61,0,0,0.5
HK.00132,21.0,20,1,1,0.85
HK.00135,72.0,81,0,0,0.3
HK.00136,28.0,52,0,0,0.75
HK.00137,67.0,63,0,0,0.65
HK.00138,4.0,8,0,0,0.85
HK.00139,9.0,69,1,6,0.6
HK.00142,50.0,52,0,0,0.85
HK.00144,77.0,86,0,0,0.0
HK.00145,87.0,92,0,0,0.3
HK.00146,60.0,73,0,0,0.7
HK.00147,93.0,99,0,0,0.0
HK.00148,87.0,45,0,0,0.5
HK.00149,65.0,72,0,0,0.65
HK.00150,62.0,65,0,0,0.6
HK.00151,12.0,14,1,51,1.0
HK.00152,26.0,61,0,0,0.85
HK.00154,38.0,81,0,0,0.35
HK.00156,76.0,50,1,1,0.55
HK.00157,50.0,49,0,0,0.65
HK.00158,66.0,66,0,0,0.2
HK.00159,4.0,3,1,1,0.95
HK.00160,14.0,26,1,5,0.75
HK.00162,28.0,37,1,1,0.1
HK.00163,13.0,10,1,54,1.0
HK.00164,72.0,40,0,0,0.55
HK.00165,45.0,81,0,0,0.45
HK.00166,39.0,77,0,0,0.45
HK.00167,95.0,7,1,11,0.75
HK.00168,37.0,23,1,29,1.0
HK.00169,23.0,23,1,6,0.85
HK.00171,32.0,95,0,0,0.3
HK.00173,50.0,57,1,8,0.45
HK.00174,24.0,7,1,40,1.0
HK.00175,52.0,22,1,11,0.95
HK.00176,64.0,54,0,0,0.7
HK.00177,70.0,65,0,0,0.55
HK.00178,91.0,87,0,0,0.25
HK.00179,27.0,48,0,0,0.6
HK.00180,49.0,44,0,0,0.6
HK.00181,18.0,5,1,54,1.0
HK.00182,59.0,71,0,0,0.65
HK.00183,46.0,51,0,0,0.7
HK.00184,73.0,64,0,0,0.25
HK.00185,39.0,76,0,0,0.25
HK.00186,95.0,97,0,0,0.0
HK.00187,17.0,31,1,17,0.9
HK.00188,52.0,49,0,0,0.8
HK.00189,61.0,42,1,1,0.55
HK.00191,25.0,14,1,54,1.0
HK.00193,56.0,49,0,0,0.6
HK.00194,58.0,58,0,0,0.65
HK.00196,5.0,4,1,46,1.0
HK.00197,92.0,97,0,0,0.05
HK.00199,97.0,36,1,8,0.45
HK.00200,22.0,30,1,1,0.95
HK.00201,41.0,26,1,3,0.8
HK.00202,5.0,44,0,0,0.5
HK.00205,61.0,18,1,1,0.8
HK.00206,11.0,14,1,5,0.75
HK.00209,0.0,0,1,14,0.7
HK.00210,25.0,16,1,2,0.75
HK.00211,65.0,54,0,0,0.25
HK.00212,68.0,57,0,0,0.6
HK.00213,65.0,73,0,0,0.4
HK.00214,35.0,81,0,0,0.0
HK.00215,73.0,66,0,0,0.4
HK.00216,23.0,21,1,18,0.9
HK.00217,33.0,29,1,3,0.8
HK.00218,31.0,68,1,2,0.75
HK.00219,74.0,41,1,3,0.85
HK.00220,52.0,37,1,11,0.55
HK.00222,68.0,44,1,18,0.95
HK.00223,11.0,10,1,5,0.95
HK.00224,67.0,78,0,0,0.0
HK.00225,55.0,39,1,6,0.75
