code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,81.0,47,1,18,0.95
HK.00002,78.0,64,0,0,0.2
HK.00003,74.0,80,0,0,0.3
HK.00004,42.0,37,1,9,0.6
HK.00005,89.0,75,0,0,0.4
HK.00006,77.0,73,0,0,0.2
HK.00007,64.0,56,0,0,0.75
HK.00008,59.0,46,0,0,0.9
HK.00010,45.0,39,1,37,1.0
HK.00012,57.0,63,1,7,0.6
HK.00013,77.0,90,0,0,0.05
HK.00014,59.0,31,1,27,1.0
HK.00016,75.0,65,0,0,0.6
HK.00017,42.0,32,1,7,0.5
HK.00018,22.0,36,0,0,0.45
HK.00019,90.0,86,0,0,0.0
HK.00020,19.0,30,1,7,0.65
HK.00021,29.0,18,1,6,0.55
HK.00022,2.0,19,1,3,0.95
HK.00023,90.0,93,0,0,0.0
HK.00025,84.0,72,0,0,0.65
HK.00026,68.0,61,0,0,0.5
HK.00027,61.0,77,0,0,0.05
HK.00028,24.0,19,1,14,0.9
HK.00029,30.0,34,1,5,0.95
HK.00030,60.0,47,0,0,0.55
HK.00031,25.0,12,1,1,0.85
HK.00032,54.0,50,0,0,0.55
HK.00033,53.0,56,0,0,0.75
HK.00034,69.0,22,1,8,0.9
HK.00035,45.0,44,0,0,0.9
HK.00036,75.0,56,0,0,0.75
HK.00037,61.0,43,1,1,0.35
HK.00038,86.0,90,0,0,0.35
HK.00039,17.0,56,0,0,0.75
HK.00040,58.0,49,1,2,0.7
HK.00041,62.0,41,1,9,0.65
HK.00042,13.0,14,1,2,0.8
HK.00045,51.0,47,0,0,0.6
HK.00046,57.0,74,0,0,0.25
HK.00048,92.0,71,0,0,0.4
HK.00050,68.0,64,0,0,0.35
HK.00051,56.0,43,1,2,0.6
HK.00052,76.0,76,0,0,0.4
HK.00053,63.0,65,0,0,0.25
HK.00055,33.0,42,1,5,0.55
HK.00057,51.0,46,1,2,0.7
HK.00058,80.0,23,1,9,0.6
HK.00059,64.0,56,0,0,0.75
HK.00060,84.0,89,0,0,0.0
HK.00061,9.0,12,1,31,1.0
HK.00062,45.0,34,1,16,0.9
HK.00063,14.0,69,0,0,0.45
HK.00064,84.0,76,0,0,0.1
HK.00065,47.0,89,0,0,0.15
HK.00066,76.0,71,0,0,0.4
HK.00068,,86,0,0,0.55
HK.00069,52.0,53,0,0,0.65
HK.00070,84.0,96,0,0,0.2
HK.00071,62.0,52,0,0,0.4
HK.00072,28.0,9,1,9,0.55
HK.00073,67.0,60,0,0,0.85
HK.00075,46.0,43,1,13,0.7
HK.00076,53.0,91,0,0,0.25
HK.00077,84.0,78,0,0,0.15
HK.00078,38.0,67,0,0,0.25
HK.00079,63.0,31,1,1,0.25
HK.00081,81.0,90,0,0,0.0
HK.00082,40.0,25,1,42,1.0
HK.00083,61.0,50,0,0,0.6
HK.00084,71.0,66,0,0,0.45
HK.00085,9.0,6,1,49,1.0
HK.00086,71.0,64,0,0,0.4
HK.00087,86.0,80,0,0,0.0
HK.00088,55.0,44,1,2,0.85
HK.00089,44.0,49,1,2,0.8
HK.00090,40.0,43,0,0,0.8
HK.00092,61.0,84,0,0,0.35
HK.00093,25.0,31,1,14,0.9
HK.00094,39.0,26,1,29,1.0
HK.00095,38.0,75,0,0,0.5
HK.00096,47.0,59,0,0,0.35
HK.00097,23.0,30,1,5,0.8
HK.00098,29.0,13,1,14,0.8
HK.00099,58.0,58,0,0,0.65
HK.00100,,66,0,0,0.2
HK.00101,44.0,43,1,10,0.9
HK.00103,44.0,87,0,0,0.05
HK.00104,75.0,70,0,0,0.05
HK.00105,65.0,48,1,2,0.9
HK.00106,64.0,56,0,0,0.75
HK.00107,59.0,72,0,0,0.45
HK.00108,55.0,89,0,0,0.35
HK.00110,95.0,90,1,5,0.25
HK.00111,80.0,90,0,0,0.4
HK.00113,78.0,51,0,0,0.75
HK.00114,75.0,46,1,1,0.6
HK.00115,27.0,3,1,61,1.0
HK.00116,87.0,92,0,0,0.0
HK.00117,97.0,2,1,15,0.8
HK.00118,48.0,64,0,0,0.5
HK.00119,16.0,10,1,19,0.95
HK.00120,9.0,36,1,1,0.5
HK.00122,52.0,44,1,10,0.65
HK.00123,21.0,21,1,7,0.6
HK.00124,27.0,30,1,3,0.6
HK.00125,41.0,51,1,3,0.55
HK.00126,17.0,12,1,2,0.8
HK.00127,42.0,46,0,0,0.85
HK.00128,93.0,97,0,0,0.7
HK.00129,22.0,35,0,0,0.8
HK.00130,71.0,41,0,0,0.65
HK.00131,68.0,58,0,0,0.6
HK.00132,26.0,23,0,0,0.9
HK.00135,73.0,84,0,0,0.35
HK.00136,32.0,48,0,0,0.75
HK.00137,70.0,63,0,0,0.65
HK.00138,5.0,10,0,0,0.9
HK.00139,11.0,92,1,5,0.6
HK.00142,50.0,59,0,0,0.9
HK.00144,77.0,87,0,0,0.0
HK.00145,87.0,92,0,0,0.3
HK.00146,61.0,75,0,0,0.75
HK.00147,93.0,99,0,0,0.0
HK.00148,86.0,20,0,0,0.55
HK.00149,66.0,74,0,0,0.7
HK.00150,65.0,65,0,0,0.65
HK.00151,13.0,18,1,50,1.0
HK.00152,27.0,60,0,0,0.9
HK.00154,35.0,78,0,0,0.35
HK.00156,76.0,50,0,0,0.55
HK.00157,50.0,59,0,0,0.7
HK.00158,66.0,67,0,0,0.2
HK.00159,10.0,5,0,0,0.95
HK.00160,15.0,26,1,4,0.75
HK.00162,27.0,59,0,0,0.05
HK.00163,11.0,9,1,53,1.0
HK.00164,72.0,40,0,0,0.65
HK.00165,45.0,79,0,0,0.45
HK.00166,32.0,67,0,0,0.55
HK.00167,94.0,9,1,10,0.7
HK.00168,42.0,26,1,28,1.0
HK.00169,24.0,26,1,5,0.85
HK.00171,33.0,96,0,0,0.3
HK.00173,50.0,61,1,7,0.4
HK.00174,20.0,8,1,39,1.0
HK.00175,61.0,23,1,10,0.95
HK.00176,64.0,56,0,0,0.75
HK.00177,67.0,63,0,0,0.6
HK.00178,91.0,87,0,0,0.25
HK.00179,19.0,24,1,12,0.6
HK.00180,50.0,49,0,0,0.6
HK.00181,24.0,9,1,52,1.0
HK.00182,43.0,33,0,0,0.7
HK.00183,46.0,50,0,0,0.75
HK.00184,73.0,66,0,0,0.25
HK.00185,39.0,77,0,0,0.25
HK.00186,96.0,97,0,0,0.0
HK.00187,17.0,32,1,16,0.85
HK.00188,52.0,50,0,0,0.8
HK.00189,65.0,39,0,0,0.5
HK.00191,24.0,13,1,52,1.0
HK.00193,56.0,50,0,0,0.6
HK.00194,57.0,60,0,0,0.75
HK.00196,6.0,7,1,45,1.0
HK.00197,91.0,97,0,0,0.1
HK.00199,97.0,43,1,7,0.4
HK.00200,24.0,36,0,0,0.9
HK.00201,40.0,26,1,2,0.8
HK.00202,5.0,45,0,0,0.55
HK.00205,79.0,41,0,0,0.8
HK.00206,13.0,34,1,4,0.75
HK.00209,0.0,0,1,13,0.65
HK.00210,33.0,34,0,0,0.75
HK.00211,67.0,56,0,0,0.25
HK.00212,70.0,60,0,0,0.65
