code,rs_percentile_12m,rs_percentile_3m
HK.00001,80.0,47
HK.00002,78.0,63
HK.00003,70.0,61
HK.00004,52.0,54
HK.00005,87.0,65
HK.00006,78.0,68
HK.00008,66.0,54
HK.00010,46.0,37
HK.00012,58.0,41
HK.00013,75.0,89
HK.00014,55.0,30
HK.00016,67.0,26
HK.00017,24.0,17
HK.00018,22.0,23
HK.00019,88.0,78
HK.00020,14.0,13
HK.00021,44.0,32
HK.00022,36.0,97
HK.00023,91.0,94
HK.00025,84.0,75
HK.00026,68.0,60
HK.00027,59.0,65
HK.00028,30.0,34
HK.00029,32.0,39
HK.00030,63.0,59
HK.00031,20.0,18
HK.00032,47.0,39
HK.00033,61.0,57
HK.00034,73.0,31
HK.00035,45.0,47
HK.00036,80.0,57
HK.00037,66.0,51
HK.00038,85.0,86
HK.00039,18.0,57
HK.00040,58.0,53
HK.00041,60.0,31
HK.00042,23.0,30
HK.00045,50.0,53
HK.00046,50.0,66
HK.00048,92.0,69
HK.00050,66.0,53
HK.00051,59.0,40
HK.00052,67.0,67
HK.00053,66.0,61
HK.00055,34.0,33
HK.00057,51.0,47
HK.00058,67.0,27
HK.00059,64.0,57
HK.00060,78.0,85
HK.00061,9.0,18
HK.00062,43.0,27
HK.00063,14.0,66
HK.00064,85.0,70
HK.00065,49.0,88
HK.00066,76.0,55
HK.00068,,37
HK.00069,47.0,36
HK.00070,85.0,96
HK.00071,63.0,53
HK.00072,33.0,13
HK.00073,58.0,50
HK.00075,50.0,44
HK.00076,57.0,88
HK.00077,88.0,88
HK.00078,43.0,81
HK.00079,84.0,64
HK.00081,82.0,82
HK.00082,47.0,41
HK.00083,52.0,33
HK.00084,68.0,59
HK.00085,13.0,12
HK.00086,71.0,67
HK.00087,84.0,75
HK.00088,54.0,46
HK.00089,60.0,50
HK.00090,29.0,31
HK.00092,46.0,34
HK.00093,31.0,26
HK.00094,35.0,15
HK.00095,41.0,29
HK.00096,58.0,54
HK.00097,26.0,34
HK.00098,27.0,10
HK.00099,56.0,60
HK.00100,,20
HK.00101,37.0,26
HK.00103,42.0,84
HK.00104,73.0,65
HK.00105,67.0,54
HK.00106,64.0,57
HK.00107,61.0,65
HK.00108,44.0,84
HK.00110,97.0,90
HK.00111,80.0,82
HK.00113,74.0,40
HK.00114,71.0,47
HK.00115,21.0,16
HK.00116,80.0,76
HK.00117,98.0,90
HK.00118,70.0,87
HK.00119,16.0,6
HK.00120,12.0,38
HK.00122,46.0,32
HK.00123,23.0,11
HK.00124,40.0,50
HK.00125,44.0,40
HK.00126,16.0,26
HK.00127,41.0,39
HK.00128,92.0,97
HK.00129,22.0,35
HK.00130,67.0,33
HK.00131,69.0,59
HK.00132,22.0,21
HK.00135,73.0,81
HK.00136,30.0,71
HK.00137,58.0,68
HK.00138,3.0,11
HK.00139,9.0,67
HK.00142,46.0,42
HK.00144,80.0,85
HK.00145,79.0,93
HK.00146,58.0,76
HK.00147,95.0,99
HK.00148,87.0,45
HK.00149,55.0,68
HK.00150,53.0,61
HK.00151,10.0,12
HK.00152,28.0,47
HK.00154,42.0,77
HK.00156,79.0,74
HK.00157,49.0,46
HK.00158,66.0,68
HK.00159,5.0,2
HK.00160,21.0,32
HK.00162,26.0,29
HK.00163,13.0,12
HK.00164,62.0,37
HK.00165,35.0,71
HK.00166,63.0,91
HK.00167,96.0,53
HK.00168,42.0,25
HK.00169,20.0,25
HK.00171,23.0,82
HK.00173,54.0,48
HK.00174,19.0,13
HK.00175,46.0,19
HK.00176,64.0,57
HK.00177,75.0,76
HK.00178,93.0,95
HK.00179,20.0,36
HK.00180,56.0,64
HK.00181,24.0,14
HK.00182,51.0,70
HK.00183,48.0,67
HK.00184,72.0,61
HK.00185,29.0,80
HK.00186,95.0,97
HK.00187,15.0,28
HK.00188,46.0,41
HK.00189,38.0,22
HK.00191,18.0,10
HK.00193,53.0,47
HK.00194,59.0,51
HK.00196,9.0,25
HK.00197,90.0,96
HK.00199,97.0,27
HK.00200,18.0,19
HK.00201,40.0,25
HK.00202,18.0,91
HK.00205,75.0,50
HK.00206,10.0,10
HK.00209,0.0,0
HK.00210,24.0,20
HK.00211,66.0,63
HK.00212,66.0,54
HK.00213,61.0,70
HK.00214,36.0,78
HK.00215,71.0,62
HK.00216,24.0,27
HK.00217,33.0,34
HK.00218,26.0,36
HK.00219,75.0,52
HK.00220,54.0,32
HK.00222,59.0,33
HK.00223,35.0,80
HK.00224,69.0,74
HK.00225,53.0,40
HK.00227,7.0,7
HK.00228,5.0,3
HK.00229,55.0,64
HK.00232,96.0,80
HK.00234,69.0,88
HK.00235,31.0,52
HK.00236,49.0,49
HK.00237,62.0,39
HK.00239,75.0,72
HK.00240,60.0,47
HK.00241,18.0,27
HK.00242,31.0,49
HK.00243,77.0,51
HK.00244,54.0,64
HK.00245,41.0,38
HK.00247,62.0,57
HK.00248,38.0,63
HK.00251,40.0,23
HK.00252,69.0,64
HK.00253,66.0,43
HK.00254,1.0,87
HK.00255,60.0,63
HK.00256,75.0,93
HK.00257,70.0,59
HK.00258,51.0,68
HK.00259,14.0,9
HK.00261,77.0,89
HK.00262,57.0,52
HK.00264,23.0,19
HK.00265,34.0,12
HK.00266,60.0,64
HK.00267,78.0,79
HK.00268,31.0,53
HK.00269,64.0,57
HK.00270,85.0,84
HK.00271,39.0,30
HK.00272,34.0,60
HK.00274,64.0,57
HK.00276,41.0,63
HK.00277,23.0,37
HK.00279,23.0,70
HK.00280,86.0,77
HK.00285,31.0,59
HK.00286,64.0,57
HK.00287,71.0,68
HK.00288,30.0,8
HK.00289,67.0,52
HK.00290,13.0,30
HK.00291,27.0,14
HK.00293,85.0,73
HK.00294,85.0,84
HK.00295,24.0,26
HK.00296,32.0,31
HK.00297,45.0,51
HK.00298,37.0,49
HK.00299,64.0,57
HK.00300,82.0,75
HK.00301,98.0,95
HK.00302,14.0,55
HK.00303,47.0,40
HK.00305,19.0,14
HK.00306,75.0,65
HK.00308,57.0,65
HK.00309,9.0,14
HK.00311,84.0,78
HK.00312,8.0,2
HK.00313,32.0,67
HK.00314,38.0,88
HK.00315,70.0,67
HK.00316,80.0,54
HK.00317,71.0,90
HK.00318,91.0,68
HK.00320,45.0,44
HK.00321,54.0,19
HK.00322,77.0,45
HK.00323,33.0,70
HK.00325,76.0,83
HK.00326,94.0,42
HK.00327,45.0,73
HK.00328,5.0,87
HK.00329,2.0,2
