code,n_rows,last_price,prev_close,gap_pct,rvol,avg_vol_20d,avg_dollar_vol_20d,adr_pct,sma50,sma200,perf_4w,perf_13w,perf_26w,perf_ytd,perf_52w,consecutive_up_days
HK.00001,490,67.9000015258789,67.55000305175781,0.518132432729751,1.568100360436605,6178002.65,419486389.36188394,1.7399935563501747,70.0178598022461,63.37256729125976,-3.0462395429077405,-0.5890517579176554,16.966167391096494,30.070707528349512,37.85483649990044,3
HK.00002,490,77.44999694824219,77.1500015258789,0.38884694287744365,1.6133266964326298,3161565.25,244863218.96416855,1.4085098126660567,77.33370422363281,73.11511287689208,-2.153051455035291,7.1081927666097195,7.354678157283851,14.662768191478595,24.45540250182732,1
HK.00003,490,7.090000152587891,6.994999885559082,1.3581167774560385,1.790052492479372,28443897.55,201667237.96969435,1.7625548395917394,6.95528655052185,6.898119127750396,-3.901976552916996,7.894489741509939,-1.2438690905458432,4.728715034832661,6.374458525265673,1
HK.00004,490,19.280000686645508,19.25,0.15584772283380682,1.8423389253968003,1315233.15,25357696.035098933,2.8571183672454437,19.35000679016113,21.893827962875367,-7.399630524610715,5.516733053006843,-14.961708143307021,-11.075546004538122,-16.53516162742461,5
HK.00005,490,161.60000610351562,159.8000030517578,1.126409898236865,1.1986616002494883,10255450.25,1657280822.9943008,1.2852476522362732,161.41274871826172,138.84733509063722,-0.7980281409923403,9.722231431398908,26.11908376438376,34.94640302812761,64.99295315556314,1
HK.00006,490,59.849998474121094,59.95000076293945,-0.16680948714879731,2.3195324196525386,3227662.15,193175574.7524784,1.71793356856993,58.89693473815918,57.70645895004272,-2.914756874432136,7.882095765096432,-0.6216326909626616,13.523797257510514,23.80536634763896,0
HK.00008,490,5.300000190734863,5.394999980926514,-1.7608858299816998,2.1178284842271675,8393294.9,44484464.57089396,1.4882103418647268,5.473846063613892,5.5163908863067626,-2.2140199975999786,-3.985271224682326,-5.225354525401824,2.130788792661443,8.391683951946433,0
HK.00010,490,12.1899995803833,12.1899995803833,0.0,1.848110125444134,932522.45,11367448.274198007,1.9626246350311762,12.861539058685302,14.29483510017395,-4.765629697358166,-7.764568880966085,-18.076049224842745,-15.666522373691361,-11.258445090432145,0
HK.00012,490,25.959999084472656,25.719999313354492,0.93312510701954,1.562915752304009,9533963.1,247501673.34739608,2.202047232517296,27.00043155670166,28.55273681640625,-12.382830157755139,0.38082051166316744,-15.570902059383974,-6.241722408591212,0.4156652532769237,1
HK.00013,490,21.540000915527344,21.799999237060547,-1.1926528928092779,0.9171082251053758,7461902.75,160729392.066576,4.211206835569447,19.452799987792968,20.759749960899352,8.95296113697657,32.717199772387374,-5.526308612699964,2.8653312615434894,-14.52380847858827,0
HK.00014,490,15.779999732971191,15.529999732971191,1.6097875357282452,1.70100829925501,1581175.7,24950952.123780537,1.9692135776058433,16.927494773864748,18.13264075279236,-4.7648897228105715,-4.594917296135959,-14.738999719378363,-11.433781606306253,5.7640727364584965,1
HK.00016,490,107.69999694824219,108.19999694824219,-0.46210722190609355,1.9378078650162855,6009308.9,647202550.1910447,2.751318085608892,118.8079997253418,121.21630012512207,-15.990640006236823,-6.020943820027241,-21.329436267412465,12.27945007745808,19.422897005124714,0
HK.00017,490,5.78000020980835,5.815000057220459,-0.6018890295392212,1.3682539741976067,6367177.25,36802285.84088695,3.8528691421559618,6.639799995422363,8.00244997739792,-18.130307979397124,-20.60439501058048,-38.83597538127547,-21.786193312110317,-30.69544239738625,0
