ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.020619143681860096,67,1,4,0.2
AA,-0.057628251337684004,34,0,0,0.25
AACG,-0.10803967755846552,22,1,1,0.55
AACIU,-0.0005204578441297516,57,0,0,0.8
AACOU,-0.006042124478729205,53,0,0,0.8
AAL,-0.15946046060227376,15,1,24,1.0
AAME,-0.19246706089421645,12,1,8,0.95
AAMI,0.08564914255155782,82,0,0,0.15
AAOI,-0.1946322876713917,12,1,13,0.7
AAON,-0.2497940450617127,8,1,52,1.0
AAP,-0.24456233238601194,8,1,15,0.95
AAPG,-0.08173694774772662,27,1,7,0.75
AAPL,0.025516275826746784,69,0,0,0.55
AARD,-0.20902895917179992,10,1,9,0.7
AAT,-0.07625467182277529,29,1,35,1.0
AAUC,-0.010284180854761616,51,0,0,0.1
AB,0.0013769168822313164,58,1,1,0.5
ABAT,-0.026700778635380853,44,0,0,0.35
ABBV,0.03221359995803848,71,1,3,0.5
ABCB,-0.049027477315300716,36,1,29,1.0
ABCL,0.49252620628567706,97,0,0,0.0
ABEO,-0.15357512161015227,15,1,19,0.95
ABEV,-0.003955272580543102,54,0,0,0.75
ABG,0.012208214502321325,65,1,2,0.85
ABLV,0.03819896046218897,72,0,0,0.3
ABM,0.07650778791216363,80,0,0,0.85
ABNB,0.05640467597879298,76,1,2,0.1
ABOS,0.16829203729880673,90,1,1,0.05
ABR,-0.03567410548998854,41,1,2,0.6
ABSI,-0.02536892225748286,44,1,8,0.5
ABT,0.05167239988349458,75,1,7,0.35
ABTC,0.09642813669244599,83,0,0,0.0
ABTS,0.058108951244708024,77,1,1,0.2
ABUS,0.12610326148420134,86,0,0,0.1
ABVC,-0.1532853977495201,15,0,0,0.8
ABVX,-0.04626392997930482,37,0,0,0.9
ABX,-0.023266081581930484,45,0,0,0.7
ACA,0.028122080134195777,70,0,0,0.7
ACAAU,-0.0007032493804793429,56,0,0,0.65
ACAD,0.03759648986470885,72,1,4,0.2
ACB,0.3268897027325355,96,0,0,0.0
ACCL,0.44295022551712043,97,0,0,0.15
ACCO,0.04825846432836864,75,0,0,0.2
ACCS,-0.23930331728009954,9,1,7,0.95
ACDC,0.027671343459797323,70,0,0,0.2
ACEL,-0.052906120886577014,35,1,29,1.0
ACET,0.1698007401232127,90,0,0,0.2
ACFN,0.0802697640073854,81,1,1,0.4
ACGL,-0.016369546946051552,48,1,9,0.8
ACGLN,-0.025771657288513602,44,1,13,0.95
ACGLO,-0.021361563973461305,46,1,27,1.0
ACH,-0.447344320770701,3,1,26,1.0
ACHC,-0.06851624180945019,31,1,8,0.9
ACHR,-0.008595442101263905,52,1,1,0.45
ACHV,0.20121918632627867,92,1,1,0.05
ACI,-0.11692764633939419,21,1,2,0.7
ACIC,-0.10606327118061758,23,1,26,1.0
ACIU,0.19245778027940674,91,0,0,0.0
ACIW,0.008083109983328587,63,1,8,0.95
ACLS,-0.18563395794195053,12,1,16,0.85
ACM,-0.10498597678828386,23,1,6,0.9
ACMR,-0.14203533128459206,17,1,15,0.9
ACN,0.08475670561937185,81,1,2,0.1
ACNB,0.06407796939623683,78,0,0,0.1
ACNT,-0.0033742589623672126,54,1,4,0.75
ACOG,0.1400186871680924,88,1,1,0.15
ACON,-0.08704424243467562,26,1,11,0.7
ACP,-0.024525120854937698,45,1,4,0.65
ACR,-0.1271341407526022,19,1,29,1.0
ACRE,-0.03430272132137904,41,1,10,0.6
ACRS,0.02521912827937599,69,1,1,0.2
ACRV,0.15321594312981102,89,1,1,0.05
ACT,0.08154347932452563,81,0,0,0.15
ACTG,-0.023195162516324374,45,0,0,0.8
ACTU,0.05192021251710131,75,1,1,0.45
ACU,0.2171939230701575,93,0,0,0.0
ACV,-0.03701865317371324,40,0,0,0.95
ACVA,0.09325562661006807,83,0,0,0.75
ACXP,-0.08555709059859004,26,1,16,0.9
AD,0.06915585118551863,79,0,0,0.35
ADAC,-0.0012971027160880392,56,0,0,0.85
ADACU,8.540742164542259e-05,57,0,0,0.85
ADAG,-0.1604390855594236,15,1,11,0.75
ADAM,0.014685134804987354,65,1,8,0.4
ADAML,0.017387888713572955,66,0,0,0.35
ADAMM,0.018197016075439134,66,0,0,0.3
ADAMN,0.04034382741280866,73,0,0,0.05
ADAMZ,-0.045675451917349674,37,1,13,0.9
ADBE,0.019504215842149373,67,1,3,0.2
ADC,-0.03399991238019439,41,1,29,1.0
ADCT,0.04186548211808627,73,0,0,0.5
ADEA,-0.06774023648567495,31,0,0,0.75
ADGM,-0.11672487239570745,21,0,0,0.55
ADI,-0.06795304586073321,31,1,16,0.9
ADIL,0.8975143498333943,98,0,0,0.0
ADM,0.0799393627369566,81,0,0,0.5
ADMA,0.026101990874280234,69,0,0,0.25
ADNT,-0.07179530347743167,30,1,2,0.9
ADP,0.04114092040456162,73,1,3,0.2
ADPT,0.10546721586332587,84,1,7,0.35
ADSE,-0.0006281333811345774,56,0,0,0.9
ADSK,-0.11826977330363583,20,1,6,0.3
ADT,-0.00861503329936927,52,1,2,0.45
ADTN,-0.2699788831479621,7,1,66,1.0
ADUR,-0.17352092808311995,13,1,9,0.5
ADUS,0.08383262841300722,81,0,0,0.35
ADV,-0.08017305505983095,28,1,7,0.9
ADVB,0.48620498572334186,97,1,2,0.4
ADX,0.008089443003692843,63,0,0,0.65
ADXN,-0.41342429651108287,3,1,19,0.95
AEAQ,0.002995859035414704,60,0,0,0.65
AEAQU,-0.014507924582851228,49,1,11,0.9
AEBI,0.0026761122335718463,60,1,2,0.8
AEC,0.010171013614743783,64,1,8,0.55
AEE,-0.02107390713965983,46,1,30,1.0
AEF,0.10419559201904677,84,0,0,0.05
AEG,0.03657498018278091,72,0,0,0.6
AEHL,-0.039322607039597654,40,0,0,0.75
AEHR,0.043936034017087816,74,0,0,0.65
AEI,0.06119074243612303,77,1,2,0.25
AEIS,-0.08793919908168508,26,1,16,0.8
AEM,0.22752616624525784,93,0,0,0.0
AEMD,-0.5514837328695801,2,1,69,1.0
AENT,-0.07718376419393874,29,1,1,0.95
AEO,-0.047386136036534646,37,0,0,0.8
AEON,-0.37861575485462184,4,1,5,0.8
AEP,-0.021131904840391468,46,0,0,0.9
AER,-0.04451472836498266,38,1,9,0.95
AERO,-0.03438766009927099,41,0,0,0.8
AERT,-0.02698673621501727,44,1,1,0.3
AES,0.008585950952618361,63,0,0,0.65
AESI,0.09582322910150361,83,0,0,0.25
AEVA,-0.3096614039306878,6,1,16,0.8
AEXA,-0.019501758360074693,47,1,4,0.75
AEYE,0.21575339818243056,93,0,0,0.1
AFB,-0.057082316428309465,34,1,13,0.95
AFCG,0.2064840164712481,92,0,0,0.05
AFG,4.070535053138976e-05,57,1,9,0.8
AFJK,-0.14479806246205965,16,1,63,1.0
AFJKU,-0.2693698592399996,7,0,0,0.95
AFL,-0.04737744735808146,37,1,26,1.0
AFRI,0.03559789999401466,72,0,0,0.3
AFRM,-0.09798797853072486,24,1,7,0.55
AFYA,-0.008831262309765286,51,1,2,0.45
AG,0.19023409921731824,91,0,0,0.0
AGBK,0.018043258207139493,66,0,0,0.7
AGCC,-0.08989123376603497,26,1,7,0.95
AGCO,0.18626924374420875,91,0,0,0.35
AGD,-0.011784495521317096,50,1,5,0.35
AGEN,0.5419893077707046,98,1,2,0.1
AGI,0.1401994920918422,88,0,0,0.0
AGIG,0.19335963104328754,91,0,0,0.35
AGIO,0.025904538685578692,69,0,0,0.7
AGL,-0.09228828792815022,25,0,0,0.95
AGM,0.06994202555472465,79,0,0,0.5
AGMB,0.14359538499780733,88,0,0,0.35
AGMH,-0.2140838132061651,10,1,9,0.65
AGNC,-0.009313878450736331,51,1,10,0.7
AGNCL,0.0052584487689507865,61,0,0,0.4
AGNCM,0.011241167869134629,64,0,0,0.55
AGNCN,0.004803123392565989,61,0,0,0.65
AGNCO,0.007379296685170677,63,0,0,0.6
AGNCP,0.00966157822710776,64,0,0,0.5
AGNCZ,0.0033000268260546693,60,0,0,0.6
AGNT,-0.16458730665426258,14,1,10,0.65
AGO,-0.0678024505735553,31,1,28,1.0
AGPU,0.4134388561699664,97,0,0,0.1
AGRO,0.2247177942341765,93,0,0,0.2
AGRZ,-0.2124936540261994,10,1,13,0.85
AGX,-0.3349248507463104,5,1,48,1.0
AGYS,0.019873896648552318,67,1,3,0.2
AHCO,-0.1739927393600728,13,1,2,0.9
AHG,-0.43419771593332107,3,1,27,1.0
AHMA,-0.24580059913429336,8,1,20,1.0
AHR,0.01364105790706283,65,1,4,0.6
AHRT,-0.06343720644321647,32,1,28,1.0
AHT,-0.02470220978555879,45,1,8,0.6
AI,0.03587516184767832,72,0,0,0.15
AIB,-0.24438156207423908,8,1,1,0.95
AIDX,0.03171689979912212,71,1,1,0.1
AIFA,0.43685777144034205,97,0,0,0.0
AIFC,0.036979507982117285,72,1,2,0.35
AIFF,-0.14991982306296228,16,1,1,0.85
AIFU,-0.6053271581866042,1,1,51,1.0
AIG,-0.0314537263922467,42,1,11,0.95
AII,0.3454856275786558,96,0,0,0.0
AIIA,0.0019085256374860027,59,0,0,0.7
AIIO,-0.41227873385102126,3,1,37,1.0
AIIR,0.07523928893739408,80,0,0,0.2
AIM,-0.19976037737973687,11,1,7,0.9
AIMD,-0.10599544249930559,23,0,0,0.75
AIN,-0.07762881059142629,28,1,1,0.85
AIO,-0.01819619439360853,48,1,6,0.6
AIOS,-0.03976330235666639,39,1,6,0.45
AIOT,-0.15614285826206925,15,1,22,1.0
AIP,-0.2557928769498568,8,1,48,1.0
AIR,-0.08392242089169535,27,1,15,0.8
AIRE,-0.12154248856345308,20,1,1,0.55
AIRG,-0.10291739018192049,23,1,1,0.95
AIRI,-0.06060755553506834,33,0,0,0.6
AIRJ,-0.12334418567951826,20,1,16,0.8
AIRO,-0.10780748762293944,22,1,12,0.6
AIRS,-0.24925620052967729,8,1,22,1.0
AIRT,0.08355270628691212,81,1,1,0.35
AIRTP,0.02146725260530613,68,0,0,0.6
AISP,-0.0849733181531904,27,1,4,0.45
AIT,-0.05262935685632855,35,1,15,0.8
AIV,-0.10196640647357295,23,1,47,1.0
AIXC,-0.2381353473060911,9,1,12,0.8
AIXI,1.1025458031416555,99,0,0,0.85
AIZ,0.012966291733080063,65,1,2,0.55
AJG,-0.002323792274302958,55,1,2,0.3
AKA,-0.015803796147080804,48,1,2,0.75
AKAM,-0.10879895871792937,22,0,0,0.75
AKAN,-0.5338184799347716,2,1,57,1.0
AKBA,-0.026510908657390066,44,1,1,0.85
AKR,-0.04410488817778851,38,1,11,0.95
AKTS,0.008098735912022276,63,1,2,0.3
AKTX,0.06775405481175957,79,0,0,0.5
ALAB,-0.1355680244864316,18,0,0,0.9
ALAR,-0.33731622791421384,5,1,56,1.0
ALB,-0.05879132112647864,33,1,4,0.2
ALC,-0.03450425717579796,41,1,4,0.4
ALCO,-0.008564617668875917,52,0,0,0.45
ALDF,0.0044360105625071535,61,0,0,0.7
ALDFU,-0.0007286698636293611,56,0,0,0.55
ALDX,-0.11499801118979004,21,1,1,0.95
ALEC,0.3696099005805184,96,0,0,0.0
ALF,-0.0006378884784500327,56,0,0,0.7
ALFUU,-0.0036798235310127048,54,1,4,0.95
ALG,0.048689045172213466,75,0,0,0.45
ALGM,-0.23177752563410853,9,1,43,1.0
ALGN,-0.14179199487253136,17,1,17,0.95
ALGS,-0.180767044495714,13,1,7,0.35
ALGT,-0.19236130216398933,12,1,26,1.0
ALH,-0.17658398417169086,13,1,22,1.0
ALHC,-0.197855299836944,11,1,35,1.0
ALIS,0.011958599597972786,64,0,0,0.65
ALISU,-0.0009549116771496277,56,0,0,0.85
ALIT,-0.20292303797659145,11,1,2,0.95
ALK,-0.15263396797322953,16,1,22,1.0
ALKS,-0.07674441633899527,29,1,31,1.0
ALKT,0.03789360113409314,72,1,3,0.2
ALL,0.006727012120302636,62,1,3,0.75
ALLE,0.020489272937286567,67,1,11,0.6
ALLO,-0.14198199441727483,17,1,8,0.45
ALLR,-0.0742302176931732,29,1,2,0.2
ALLT,-0.030846522243315275,43,1,1,0.9
ALLY,-0.054377933201979804,35,1,2,0.9
ALM,0.22610246074910473,93,0,0,0.05
ALMS,-0.6237077614409103,1,1,27,1.0
ALMU,-0.2733770675592339,7,1,16,0.85
ALNT,-0.040219892277561384,39,0,0,0.65
ALNY,0.02343367675283061,68,0,0,0.55
ALOV,-0.0023825108233055618,55,0,0,0.8
ALOVU,-0.003990217959206899,54,0,0,0.75
ALOY,-0.25081328501347483,8,1,10,0.6
ALP,-0.5067827944883182,2,1,4,0.95
ALRM,0.04625510930722482,74,1,4,0.35
ALRS,0.03001724982457461,70,1,1,0.65
ALSN,0.06738703534336796,79,0,0,0.05
ALT,0.1270715281061998,87,0,0,0.3
ALTG,-0.14160477159623897,17,1,17,0.9
ALTI,-0.12463912465833561,19,1,7,0.45
ALTO,-0.1612580788358856,15,1,25,1.0
ALUB,0.0028607656033457817,60,0,0,0.75
ALV,-0.020702515645456585,46,1,2,0.65
ALVO,0.4144899499005643,97,0,0,0.0
ALX,-0.04238254974882227,39,1,6,0.7
ALXO,-0.05971062985861713,33,1,3,0.7
ALZN,0.29113832329770833,95,0,0,0.0
AM,0.04487844047786662,74,0,0,0.35
AMAL,0.009852695219710838,64,1,2,0.7
AMAT,-0.13229015354989523,18,1,19,0.95
AMBA,-0.10789978035995396,22,1,17,0.85
AMBO,-0.023245239117111613,45,1,4,0.9
AMBP,0.05383778579680858,76,1,8,0.4
AMBQ,-0.11261086361379881,21,0,0,0.95
AMBR,-0.2928250552523967,6,1,32,1.0
AMC,0.14885222887247657,89,1,2,0.3
AMCI,-0.32087951494604966,5,1,12,0.75
AMCR,-0.00986365487146482,51,1,4,0.6
AMCX,0.06692835291789666,78,1,2,0.1
AMD,0.050776169324639825,75,0,0,0.8
AME,-0.027462886201581972,44,1,16,0.8
AMG,-0.014477319919290275,49,1,2,0.6
AMGN,0.02150525639883898,68,1,2,0.1
AMH,-0.045893574823600326,37,1,10,0.75
AMIX,-0.44139125698249565,3,1,10,0.95
AMKR,-0.152873908261836,15,0,0,0.9
AMLX,0.7363222736631683,98,0,0,0.0
AMN,0.010919638223254716,64,0,0,0.4
AMOD,-0.5880647926646566,1,1,11,0.7
AMP,0.06565787136767344,78,0,0,0.25
AMPG,-0.4463670714677854,3,1,18,0.9
AMPH,0.16151387691392566,89,0,0,0.1
AMPL,0.2656432570824357,94,1,2,0.1
AMPX,-0.2155041212534915,10,1,1,0.75
AMPY,0.18509323925670365,91,0,0,0.0
AMR,0.43281970173653245,97,0,0,0.0
AMRC,-0.10896124519989522,22,1,1,0.75
AMRN,-0.010169547613585406,51,0,0,0.8
AMRX,0.017972352600954002,66,1,4,0.75
AMRZ,-0.1612339036386644,15,1,24,1.0
AMS,-0.01790188442187799,48,0,0,0.7
AMSC,-0.1414468931946159,17,1,1,0.95
AMSF,-0.18609571614752865,12,1,35,1.0
AMST,-0.01184423445369032,50,0,0,0.3
AMT,0.012975932053473516,65,0,0,0.3
AMTB,0.09098932286383972,82,0,0,0.2
AMTD,-0.10452686841709384,23,1,11,0.85
AMTM,-0.1611535692478383,15,1,21,1.0
AMTX,0.06595280558662228,78,0,0,0.15
AMWL,0.11113815195239593,85,0,0,0.35
AMX,-0.06538976244127351,32,1,32,1.0
AMZE,-0.4826731362639853,2,1,52,1.0
AMZN,-0.034329576757785536,41,1,7,0.8
AN,0.03416645789002641,71,0,0,0.7
ANAB,-0.03396291654662251,41,1,9,0.6
ANDE,0.03562290429312711,72,0,0,0.7
ANDG,0.23052344225381427,93,0,0,0.1
ANET,0.06335225687217894,78,0,0,0.35
ANF,0.49176375148655965,97,0,0,0.2
ANGH,-0.1129478179352341,21,1,2,0.75
ANGI,-0.09880756794671168,24,1,4,0.9
ANGO,0.09049396748486048,82,1,4,0.2
ANGX,0.29634146123029104,95,0,0,0.15
ANIK,0.1894936580425402,91,0,0,0.0
ANIP,-0.10431579509952425,23,1,23,1.0
ANIX,-0.05482776980519947,35,1,8,0.55
ANL,0.26965191227120755,94,0,0,0.05
ANNA,0.16944876099863088,90,0,0,0.5
ANNX,-0.20400494153344478,11,1,14,0.95
ANPA,-0.28755091772682784,6,1,20,1.0
ANRO,0.3068239179362039,95,0,0,0.0
ANTA,-0.1975739756990666,11,1,5,0.75
ANTX,0.15636954354598775,89,0,0,0.3
ANVS,-0.34611802768165134,5,1,10,0.8
ANY,0.0897427316909802,82,0,0,0.45
AOD,0.023153204693462926,68,0,0,0.25
AOMR,-0.03364901661288234,41,1,28,1.0
AON,-0.1358612744409063,18,1,11,0.95
AORT,0.03143187327881422,70,1,5,0.55
AOS,-0.05495111341553799,34,1,9,0.75
AOSL,-0.30632636264945884,6,1,19,0.95
AOUT,0.19336073799790007,91,0,0,0.85
AP,-0.03137678192930419,42,1,8,0.7
APA,0.19485452331823405,91,0,0,0.0
APAC,0.0018159582381528372,59,0,0,0.65
APACU,0.0006573044160708584,58,0,0,0.75
APAM,0.0518612196495562,75,1,6,0.3
APC,0.03010878452411909,70,0,0,0.85
APD,-0.018826487902264898,47,1,4,0.4
APEI,-0.12472445722105079,19,1,24,1.0
APG,-0.10467863890825341,23,1,14,0.7
APH,-0.00014097425333360353,57,0,0,0.6
API,-0.09406061729200493,25,1,2,0.55
APLD,-0.14563572992519933,16,1,1,0.8
APLE,-0.024814850912664686,45,1,7,0.65
APLM,0.43527267036587086,97,0,0,0.1
APO,0.02080543386048819,67,1,2,0.25
APOG,-0.06300253425582072,32,1,19,0.95
APP,-0.2558981448676726,8,1,43,1.0
