ticker,raw_score,rs_percentile
A,0.13860576254942159,88
AA,-0.11453095749344658,22
AACG,-0.18057507371770973,12
AACI,0.004807211117694621,62
AACIU,0.0011904845252149522,59
AACOU,-0.0030512873606305386,56
AAL,-0.05411628010382884,38
AAME,-0.09158790218301152,26
AAMI,0.11685145233875141,86
AAOI,-0.15721775462383636,15
AAON,-0.20034941349118895,10
AAP,-0.14588893508399492,16
AAPG,-0.10961402304373168,23
AAPL,0.08523649067620623,83
AARD,0.0037449461475506096,61
AAT,-0.05116737681232715,39
AAUC,-0.02881542373317334,46
AB,0.010546519675230692,66
ABAT,-0.05448024649324062,37
ABBV,0.049911347705432464,77
ABCB,-0.05060753251342709,39
ABCL,0.6510467984358106,98
ABEO,-0.06215819030186081,35
ABEV,0.001566206187082508,60
ABG,-0.1355535064328057,18
ABLV,-0.0009721912699563115,58
ABM,0.06705434708741435,80
ABNB,0.04803539719932275,77
ABOS,-0.02662689759060407,47
ABR,-0.13684890028005783,18
ABSI,0.12042862419432358,87
ABT,-0.005527300684418604,55
ABTC,0.2837154414888126,95
ABTS,0.017573639509102613,69
ABUS,0.09176828518696271,84
ABVC,0.1126827147173188,86
ABVX,-0.11962659030265461,21
ABX,-0.15771344284934521,15
ACA,0.006964518820834353,64
ACAAU,0.010146957993128725,66
ACAD,0.01087530988671562,66
ACB,0.2642189764980627,94
ACCL,0.22556662718646242,93
ACCO,0.03698973817816,75
ACCS,-0.10168004180012577,24
ACDC,0.014986497333093658,68
ACEL,-0.08885471052865307,27
ACET,0.00562588088949372,63
ACFN,0.09158350177710853,84
ACGL,-0.01831448646165055,50
ACGLN,-0.03347034420936894,45
ACGLO,-0.013926663855013321,52
ACH,-0.5309689805674636,1
ACHC,-0.004266155719965154,56
ACHR,-0.03970845242341016,42
ACHV,0.20028243987940736,92
ACI,-0.06070103918747605,36
ACIC,-0.05242618417109529,38
ACIU,0.06612193783826889,80
ACIW,-0.016191412476309498,51
ACLS,-0.185115212051179,12
ACM,-0.0511491685347384,39
ACMR,-0.1516522209456867,15
ACN,0.21344163778457334,92
ACNB,0.04959306962175558,77
ACNT,-0.014065704504680733,52
ACOG,0.07812280893213527,82
ACON,-0.09149704759461509,26
ACP,-0.06829251126250786,33
ACR,-0.21210672886840534,9
ACRE,-0.04707712495358933,40
ACRS,-0.03253531154897424,45
ACRV,0.0701771223102505,81
ACT,0.03162503806248576,73
ACTG,-0.046449022211326386,40
ACTU,-0.32595324151870353,5
ACU,0.1757000379316218,90
ACV,-0.0465369597223175,40
ACVA,0.4215985579103393,97
ACXP,-0.09379178853018705,26
AD,-0.008931204827675312,54
ADAC,-0.0005898737804986508,58
ADACU,0.002249778478917985,60
ADAG,-0.17139754401866394,13
ADAM,-0.04065212527540026,42
ADAML,0.020437584565093835,70
ADAMM,0.021538510174030343,70
ADAMN,0.016349084072002786,69
ADAMZ,-0.04798018367691242,40
ADBE,0.057165099691981025,79
ADC,-0.10330589087739595,24
ADCT,0.05980567159832248,79
ADEA,-0.12468202814823975,20
ADGM,-0.1328945801358049,18
ADI,-0.010707096766661088,53
ADIL,0.1864934985378605,91
ADM,0.018537538810832768,69
ADMA,0.04903124626419367,77
ADNT,-0.12882495967452906,19
ADP,0.07490489160253958,82
ADPT,0.2491203268151646,94
ADSE,-0.04155738931937933,42
ADSK,-0.008283130056636348,54
ADT,-0.05477129491430205,37
ADTN,-0.24180839699964968,8
ADUR,-0.1650052480649386,14
ADUS,0.03192441595905518,73
ADV,-0.07389645787836474,31
ADVB,-0.19626699953703555,11
ADX,0.02424347674447158,71
ADXN,-0.32555435311366565,5
AEAQ,0.0034499927947833856,61
AEAQU,-0.017620315636806085,51
AEBI,-0.02848582475806862,46
AEC,-0.17393589411749355,13
AEE,-0.06702979700012317,34
AEF,0.08187469330105415,83
AEG,0.0427592650901885,76
AEHL,-0.136921664952372,18
AEHR,-0.06072326295332613,36
AEI,-0.38542458561111204,3
AEIS,-0.16700486962614425,14
AEM,0.10772004689455605,86
AEMD,0.9962706612060014,98
AENT,-0.11459744052095337,22
AEO,-0.08148780336826689,29
AEON,0.01220850795960704,67
AEP,-0.0642525331676652,34
AER,-0.03202307673804618,45
AERO,0.09876850724383515,85
AERT,-0.00284190426380051,56
AES,0.009902040390506461,66
AESI,-0.05457049958672966,37
AEVA,-0.20051901494709093,10
AEXA,-0.024478154277306482,48
AEYE,0.054235315030139994,78
AFB,-0.08556991256513476,28
AFCG,0.13270108636900638,88
AFG,0.005008090182206428,63
AFJK,-0.13389218726583624,18
AFJKU,-0.11025513326382694,22
AFL,-0.024599951164164344,48
AFRI,0.07448855951856595,81
AFRM,-0.041462691236006745,42
AFYA,-0.027963936128610777,47
AG,0.008689033211756736,65
AGBK,-0.027432610833338224,47
AGCC,-0.08647915658356548,28
AGCO,0.09509691557073482,84
AGD,-0.0014277884733376659,57
AGEN,0.5559998087950118,97
AGI,0.046626667296672794,76
AGIG,0.2009631330730256,92
AGIO,-0.019270757457393293,50
AGL,-0.1493933330186607,16
AGM,0.05833505034767925,79
AGMB,-0.0641867373175621,34
AGMH,-0.25531367546494826,7
AGNC,-0.05460184030604872,37
AGNCL,0.015743285992463753,68
AGNCM,0.014115469869506491,68
AGNCN,0.005682124923687981,63
AGNCO,0.009047853036404097,65
AGNCP,0.009148875124019983,66
AGNCZ,-0.0019931196447415473,57
AGNT,-0.12989522415321952,19
AGO,-0.0814564115506734,29
AGPU,0.47158302511977124,97
AGRO,0.048128802783778506,77
AGRZ,-0.31263302546863153,5
AGX,-0.34877818092265567,4
AGYS,-0.010532176901214517,53
AHCO,-0.1890093971570313,11
AHG,-0.35568482147368424,4
AHMA,-0.2235082984315353,9
AHR,-0.03336295609113049,45
AHRT,-0.061331690294315136,35
AHT,-0.18298979475897068,12
AI,0.14627797196288062,89
AIB,-0.12130629114876963,21
AIDX,-0.1287536920187959,19
AIFA,0.27872439832345897,95
AIFC,-0.14993675467574744,16
AIFF,0.08095551257018865,82
AIFU,-0.49160330586344014,2
AIG,-0.020557534746113028,50
AII,0.23291057693454864,93
AIIA,0.0050073626534978604,63
AIIO,-0.47233401763766497,2
AIIR,0.12621951604001289,87
AIM,-0.21747370725523407,9
AIMD,-0.05514687844159594,37
AIN,-0.08730167365137262,27
AIO,-0.032970337736892875,45
