ticker,raw_score,rs_percentile
A,0.0451444491872916,75
AA,-0.09931441083459774,26
AACG,-0.16001178002437752,17
AACIU,-0.003106793096101757,57
AACOU,-0.00543526486372492,56
AAL,-0.13873361886740107,20
AAME,-0.1574741558796227,17
AAMI,0.025917048092799877,71
AAOI,-0.25528468097697177,9
AAON,-0.24908033347563918,9
AAP,-0.19969375131142514,13
AAPG,-0.13772622745119287,20
AAPL,0.07995830391153422,82
AARD,-0.03284207755728984,46
AAT,-0.08252713734092988,30
AAUC,-0.06143068365412701,36
AB,-0.013656247878972991,53
ABAT,-0.11258848604623661,24
ABBV,0.07506309150019,81
ABCB,-0.05371914522410208,39
ABCL,0.43263268994562476,97
ABEO,-0.15260081793592462,18
ABEV,0.020444832136873536,69
ABG,-0.007638246999435506,55
ABLV,0.1703911279529031,91
ABM,0.05276881994973891,77
ABNB,0.0639318757133081,79
ABOS,0.15952888941687676,90
ABR,-0.07329371877509736,33
ABSI,-0.08580093572091074,30
ABT,0.045170776136115996,75
ABTC,0.1847169460906979,91
ABTS,0.0995273787364269,84
ABUS,0.13838876456433388,88
ABVC,-0.07618133750044645,32
ABVX,-0.04829878832405588,41
ABX,0.0165121106711846,68
ACA,0.025506465715743176,71
ACAAU,0.009038724659865882,65
ACAD,0.06434379882293739,79
ACB,0.18299564185707187,91
ACCL,0.28794038688193757,95
ACCO,0.039475084325910445,74
ACCS,-0.15367617436302577,18
ACDC,-0.11405015249939254,24
ACEL,-0.07976726678341953,31
ACET,0.1634142586150627,90
ACFN,0.15788730966414596,90
ACGL,0.01152033467628091,66
ACGLN,-0.038304259660763215,44
ACGLO,-0.0327282433177659,46
ACH,-0.33107984973406823,6
ACHC,-0.049091076697147906,40
ACHR,-0.041989503545340735,43
ACHV,0.10323124777583442,85
ACI,-0.0534775744707823,39
ACIC,-0.06415664653178633,36
ACIU,0.08594842036814518,83
ACIW,0.0002584707151173371,59
ACLS,-0.29705956165447955,7
ACM,-0.025781796017510218,49
ACMR,-0.2278021834287156,10
ACN,0.20498253327599958,92
ACNB,0.05687888268713313,78
ACNT,0.01348421404700967,67
ACOG,0.1102723034132994,85
ACON,-0.006137995077229584,56
ACP,-0.09408184437640803,28
ACR,-0.14750112426527623,19
ACRE,-0.07713532540984974,32
ACRS,0.044482596275666406,75
ACRV,0.10084461262493868,84
ACT,0.07878817737539445,82
ACTG,-0.019567980660322448,51
ACTU,-0.19016354842079686,14
ACU,0.14923879895341924,89
ACV,-0.05882364173833925,37
ACVA,0.4189497698222876,97
ACXP,-0.11504964850047017,24
AD,0.0543453862911498,77
ADAC,-0.00029043971512363585,59
ADACU,-0.00019531697471404376,59
ADAG,-0.10998815204355505,24
ADAM,-0.06067771522694656,37
ADAML,0.018128225069893866,69
ADAMM,0.018273256006819505,69
ADAMN,0.015651045236448582,68
ADAMZ,-0.05212944719515443,39
ADBE,0.10615473877265494,85
ADC,-0.06300819164357932,36
ADCT,0.00015630231011827707,59
ADEA,-0.07257800025462015,33
ADGM,-0.3065610327962299,6
ADI,-0.07376892136520274,33
ADIL,0.45651714940971405,97
ADM,0.07657346882673335,81
ADMA,0.024207510176605284,71
ADNT,-0.08388199973423785,30
ADP,0.0875678301675719,83
ADPT,0.11276107105499002,86
ADSE,-0.04016440760846366,43
ADSK,0.003112007711343269,61
ADT,0.0036982126586008954,62
ADTN,-0.29377145169763147,7
ADUR,-0.14657896511697407,19
ADUS,0.06995682553737198,80
ADV,-0.05886434643820828,37
ADVB,0.24800393915468769,94
ADX,-0.004179973357716514,57
ADXN,-0.43086055830115777,3
AEAQ,0.004647508324294014,62
AEAQU,-0.011011255425684097,54
AEBI,-0.07713880658021802,32
AEC,-0.11666908658840744,23
AEE,-0.04606616861466917,41
AEF,0.040308918499861915,75
AEG,0.02491997698167534,71
AEHL,-0.15893586004748214,17
AEHR,-0.2233064320347235,11
AEI,-0.17880196013838962,15
AEIS,-0.21749295404490046,11
AEM,0.20994885628832324,93
AEMD,-0.5727932917769862,1
AENT,0.004719881650230675,62
AEO,-0.09532901534257888,27
AEON,-0.10632468577959361,25
AEP,-0.04310078043853838,42
AER,-0.049267138746666474,40
AERO,-0.033512350165939876,46
AERT,0.08465768050711868,82
AES,0.009822609785027202,66
AESI,-0.012414847364844384,53
AEVA,-0.3192954212207386,6
AEXA,-0.03410139037965447,46
AEYE,0.27887276102611913,95
AFB,-0.07388167916163396,33
AFCG,0.14642468288501523,89
AFG,0.021529666916401347,70
AFJK,-0.09660777882504828,27
AFJKU,-0.2658731900828325,8
AFL,-0.023250066601776996,50
AFRI,0.05527153624348764,78
AFRM,-0.04032872672642876,43
AFYA,-0.0008695200358547987,58
AG,0.049318545794869384,76
AGBK,-0.03145559651593938,47
AGCC,-0.06776222464262618,34
AGCO,0.1551570355540973,90
AGD,-0.010026724368404294,54
AGEN,0.3683530428932239,97
AGI,0.11523407281622704,86
AGIG,0.20626984997471676,93
AGIO,-0.02824614160371558,48
AGL,-0.09381421805351763,28
AGM,0.08015608814764436,82
AGMB,-0.012603061396617342,53
AGMH,-0.22151186142933443,11
AGNC,-0.058864797914742986,37
AGNCL,0.012987472015433398,67
AGNCM,0.015104395046517971,68
AGNCN,0.004683262664947552,62
AGNCO,0.011299225795482992,66
AGNCP,0.011573480084416032,66
AGNCZ,-0.00034160521026796974,59
AGNT,-0.08523670305289881,30
AGO,-0.060652995479058947,37
AGPU,0.4121133438721034,97
AGRO,0.1917399392308268,92
AGRZ,-0.13307359973981223,21
AGX,-0.3328881323391608,5
AGYS,0.021271065381746394,70
AHCO,-0.20189022472822704,12
AHG,-0.41458206586108426,3
AHMA,-0.13318422823182036,21
AHR,0.023019453362716637,70
AHRT,-0.09014221606198625,29
AHT,-0.021855135583316365,50
AI,0.12020906440321555,87
AIB,-0.2322707062881102,10
AIDX,-0.10803032113387943,25
AIFA,0.2520661528309917,94
AIFC,0.05030756512500944,76
AIFF,-0.13770419081769691,20
AIFU,-0.7270291343557762,0
AIG,0.0025863894551313663,61
AII,0.29712704623168606,95
AIIA,0.005899080178705728,63
AIIO,-0.5057618791114606,2
AIIR,0.05328094534329533,77
AIM,-0.21575982839019972,11
AIMD,-0.16566682183104114,16
AIN,-0.11334814205735874,24
AIO,-0.06576607262002204,35
AIOS,0.10757191552053999,85
AIOT,-0.15649475420102427,17
AIP,-0.33676021933430633,5
AIR,-0.12971640715220367,21
AIRE,-0.04696600318911248,41
AIRG,-0.09321921144016143,28
AIRI,-0.0021703867750682906,58
AIRJ,-0.16155644097906863,17
AIRO,-0.1582581148790213,17
AIRS,-0.3869088235030116,4
AIRT,0.07128134768533193,80
AIRTP,0.019272509606372723,69
AISP,-0.10588179464685749,25
AIT,-0.060652714216243186,37
AIV,-0.12284825426209253,22
AIXC,0.39657972843077327,97
AIXI,0.8169591930544826,98
AIZ,0.034683768499729026,73
AJG,0.040746395485963,75
AKA,0.052774194660657386,77
AKAM,-0.15663712074166225,17
AKAN,-0.6077598184188086,1
AKBA,-0.028987687308966427,48
AKR,-0.06535438018494355,35
AKTS,-0.03437584028669198,45
AKTX,0.22774689256049105,93
ALAB,-0.24188455968142378,9
ALAR,-0.056156475968966335,38
ALB,-0.14468930705683203,19
ALC,-0.039974825686846245,43
ALCO,-0.0363599638141371,45
ALDF,0.007841480020572056,65
ALDFU,0.0065580632850676494,64
ALDX,-0.0990214552518153,26
ALEC,0.27255559305220184,95
ALF,0.004347109528860239,62
ALFUU,-0.021704070904121908,50
ALG,0.04573806829415532,76
ALGM,-0.2791838022145535,7
ALGN,-0.13758969368052118,20
ALGS,-0.17481543198872623,15
ALGT,-0.15600273419411007,18
