ticker,raw_score,rs_percentile
A,0.04887716255621717,76
AA,-0.09301815116659541,26
AACG,-0.06722037525325848,33
AACIU,-0.003106793096101757,55
AACOU,-0.00543526486372492,54
AAL,-0.13761447083468525,18
AAME,-0.1818220828678655,13
AAMI,0.06810241750219022,79
AAOI,-0.24456651810892885,8
AAON,-0.19476545005722268,12
AAP,-0.19259694577,12
AAPG,-0.1364121847492811,18
AAPL,0.09150382297450912,83
AARD,-0.08187427069150459,29
AAT,-0.0776113005150903,30
AAUC,-0.008079150910798739,53
AB,-0.007909756414588753,53
ABAT,-0.08156812196269328,29
ABBV,0.06458356723314858,79
ABCB,-0.04505275331533312,40
ABCL,0.4238338503793395,97
ABEO,-0.21039590428331675,11
ABEV,0.016778288143119047,67
ABG,0.0008225305098289778,58
ABLV,0.09259234601747703,83
ABM,0.05324686616653507,77
ABNB,0.08100764297705006,82
ABOS,0.17433191687835561,91
ABR,-0.05107847368854376,38
ABSI,-0.07490492474520108,30
ABT,0.03492740914006485,72
ABTC,0.19552437206080875,92
ABTS,0.11771207257695948,86
ABUS,0.12961751234392707,88
ABVC,-0.12056199805295163,21
ABVX,-0.02835220352104579,45
ABX,0.01588891120006697,67
ACA,0.028280739312758454,71
ACAAU,0.005664908333146435,61
ACAD,0.060251016348014955,78
ACB,0.15419045385014168,90
ACCL,0.17859838119032168,91
ACCO,0.049646653655469566,76
ACCS,-0.11231999697207547,22
ACDC,-0.05311071435007045,37
ACEL,-0.07857854610157157,29
ACET,0.15189946135512075,90
ACFN,0.21487309493875384,93
ACGL,-0.01135568041757505,52
ACGLN,-0.03397670245296267,44
ACGLO,-0.030141999556853493,45
ACH,-0.39667858440488607,3
ACHC,-0.05555818597681206,36
ACHR,-0.0007181265855472213,57
ACHV,0.11910799175786374,87
ACI,-0.08594177559607112,28
ACIC,-0.08727071049935585,27
ACIU,0.11453381754330409,86
ACIW,0.01215544215782429,66
ACLS,-0.23105317871614894,9
ACM,-0.018174711045992942,49
ACMR,-0.1815303270438059,13
ACN,0.14263511636985637,89
ACNB,0.06876840836753968,80
ACNT,0.02425742098793915,70
ACOG,0.1235856657388805,87
ACON,0.014473397157642356,66
ACP,-0.04260547584371389,40
ACR,-0.13666586092636235,18
ACRE,-0.06969703307064978,32
ACRS,-0.007119599337187553,54
ACRV,0.1408632316166315,89
ACT,0.06570561516456663,79
ACTG,0.0002107320767270153,57
ACTU,-0.15536676428173946,16
ACU,0.1671123510622597,90
ACV,-0.04557975995206766,39
ACVA,0.4254882955512226,97
ACXP,-0.12121211878821458,21
AD,0.06725660442990422,79
ADAC,0.001304942234721429,58
ADACU,0.0017751320683699668,58
ADAG,-0.07417401790684336,30
ADAM,-0.048849031562159494,38
ADAML,0.02046469849163455,68
ADAMM,0.017926927171326115,68
ADAMN,0.012658498719552148,66
ADAMZ,-0.05127545815566283,37
ADBE,0.060693382904417545,78
ADC,-0.050829007142122934,38
ADCT,-0.10217820407940494,24
ADEA,-0.07257800025462015,31
ADGM,-0.15796906828581794,15
ADI,-0.03126107501942742,44
ADIL,0.4520215309120753,97
ADM,0.08670028939182799,83
ADMA,0.005932239485384495,62
ADNT,-0.012183303499359546,51
ADP,0.07082848230788233,80
ADPT,0.07639434062465189,81
ADSE,-0.018699915649960673,49
ADSK,-0.05828028128062846,35
ADT,0.014214398085699607,66
ADTN,-0.2592558595373362,8
ADUR,-0.16683586023956176,14
ADUS,0.07134124003248166,80
ADV,-0.045738681036546006,39
ADVB,0.43000568660327876,97
ADX,0.002214401801912935,59
ADXN,-0.41362479400429747,3
AEAQ,0.005392221801792996,61
AEAQU,-0.011011255425684097,52
AEBI,-0.036313926043969734,43
AEC,-0.0930096890065565,26
AEE,-0.03881103165805308,42
AEF,0.07303864751482785,80
AEG,0.0352285232916901,73
AEHL,0.03523355930946655,73
AEHR,-0.05534025583888806,36
AEI,-0.059367958352262495,35
AEIS,-0.12278260136735178,20
AEM,0.2139143242116026,93
AEMD,-0.5831012650581496,1
AENT,0.12393325460633511,87
AEO,-0.09306936596744234,26
AEON,-0.036563940024099045,43
AEP,-0.03557394126474113,43
AER,-0.03330120373100669,44
AERO,-0.055411804814555904,36
AERT,0.06439248452116896,79
AES,0.010166705654775132,64
AESI,0.06399504074819834,79
AEVA,-0.3246307508311117,5
AEXA,-0.02539922987944735,46
AEYE,0.2529916764716021,94
AFB,-0.06930634923820024,32
AFCG,0.21106125960510824,93
AFG,0.00969589482509421,64
AFJK,-0.10037548990482027,24
AFJKU,-0.2658731900828325,7
AFL,-0.03639249904734473,43
AFRI,0.04366431924845058,75
AFRM,-0.04467869924069632,40
AFYA,-0.007292070354331836,54
AG,0.08911756062071127,83
AGBK,0.01670617091824721,67
AGCC,-0.07813113461113183,30
AGCO,0.13611774392605425,88
AGD,-0.006458133899219776,54
AGEN,0.3221805958689756,96
AGI,0.1120413855748444,86
AGIG,0.19359843208122288,92
AGIO,-0.022427238925259503,48
AGL,-0.10544424961308677,23
AGM,0.06470909568292357,79
AGMB,0.05258014093035497,77
AGMH,-0.20767697984030944,11
AGNC,-0.04618439888640638,39
AGNCL,0.005613374487453105,61
AGNCM,0.017039585188299334,67
AGNCN,0.006884903120744545,63
AGNCO,0.010568706875181189,65
AGNCP,0.014310741037998587,66
AGNCZ,0.003347920131019389,59
AGNT,-0.06680074043687867,33
AGO,-0.04998335240497822,38
AGPU,0.4846943026933576,97
AGRO,0.17306400787571927,91
AGRZ,-0.13750231087607706,18
AGX,-0.3054902681372206,6
AGYS,0.015037543093417084,67
AHCO,-0.17645981447238268,14
AHG,-0.42655200628029644,3
AHMA,-0.08308531400709267,28
AHR,0.034424994927575205,72
AHRT,-0.07356659925171674,31
AHT,0.020731702709679646,69
AI,0.05543649064007536,77
AIB,-0.2106054250475905,11
AIDX,0.044382740385538064,75
AIFA,0.29025837392650755,95
AIFC,0.04502162703642696,75
AIFF,-0.09849158492274088,25
AIFU,-0.7262924515008313,1
AIG,-0.01790003102417952,49
AII,0.28993670702348645,95
AIIA,0.005894934309301569,62
AIIO,-0.47864216813089994,2
AIIR,0.023278493290771408,69
AIM,-0.2368264586310862,9
AIMD,-0.1394100651275305,18
AIN,-0.10818149017977835,23
AIO,-0.03560269674752277,43
AIOS,0.005439772889251737,61
AIOT,-0.17047287985740767,14
AIP,-0.27203851634884496,7
AIR,-0.09932550431798552,25
AIRE,-0.07680900271467597,30
AIRG,-0.06916859763490854,32
AIRI,-0.015953365410679966,50
AIRJ,-0.14119289899466056,18
AIRO,-0.0850383891659142,28
AIRS,-0.3643678456137164,4
AIRT,0.18669937996278874,92
AIRTP,0.01545718045953659,67
AISP,-0.13557212426819096,19
AIT,-0.03942562881244642,42
AIV,-0.11398962952160496,22
AIXC,0.014265653536041117,66
AIXI,1.0040123720863074,99
AIZ,0.03002960544290676,71
AJG,-0.02542055151227843,46
AKA,0.03282265757170986,72
AKAM,-0.14983521317100953,16
AKAN,-0.5781654212662812,1
AKBA,-0.0511743828657107,38
AKR,-0.063127873923442,34
AKTS,0.0025386290845804127,59
AKTX,0.19201279250323788,92
ALAB,-0.14326662198317747,17
ALAR,-0.16808521463689768,14
ALB,-0.11721119837282554,21
ALC,-0.05647233184746659,36
ALCO,-0.041264993695092726,41
ALDF,0.007841480020572056,63
ALDFU,0.007673260947291349,63
ALDX,-0.19419519690874693,12
ALEC,0.23215642114135518,94
ALF,0.002329130277577929,59
ALFUU,-0.021704070904121908,48
ALG,0.04267720349057687,74
ALGM,-0.21290436900185178,10
ALGN,-0.14223200393342877,17
ALGS,-0.17290456980649452,14
ALGT,-0.12944521788717228,20
ALH,-0.16482936620343625,15
ALHC,-0.23060574859449057,9
ALIS,0.017375446480886937,67
ALISU,-0.010312990328778039,52
ALIT,-0.23416110113683009,9
ALK,-0.12567049677921452,20
ALKS,-0.07091751247424342,31
ALKT,0.14320771880266936,89
ALL,0.035251491205726675,73
ALLE,0.028922614861398556,71
ALLO,-0.09203796237004266,26
ALLR,-0.09134907541704426,26
ALLT,-0.044669877760074854,40
ALLY,-0.04958322145091483,38
ALM,0.014758250422603914,67
ALMS,-0.6315522646829148,1
ALMU,-0.2844692979556803,7
ALNT,-0.018305389732853953,49
ALNY,-0.007672629427018272,53
ALOV,0.0006094057591113478,58
ALOVU,-0.0008919642968537755,56
ALOY,-0.3107810763517751,6
ALRM,0.05564592010872728,77
ALRS,0.0354491578388602,73
ALSN,0.06665365735355762,79
ALT,0.14534239835979568,89
ALTG,-0.1819055666392241,13
ALTI,-0.09262530489650628,26
ALTO,-0.1734662538820114,14
ALUB,0.0030902729474200034,59
ALV,-0.005031598944287863,55
ALVO,0.3912209606221092,97
ALX,-0.07308649881881975,31
ALXO,0.02885025841021203,71
ALZN,0.3241051742905281,96
AM,-0.0015206790859456764,56
